feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
38,O2_Alpha,O2,Alpha,5520.891615454886,0.0,-0.8215493276777361,0.8215493276777361,0.04001500943883495,0.10636514554061043,18067,14947,1
58,T5_Alpha,T5,Alpha,4469.600237106629,0.0,-0.7392024108495662,0.7392024108495662,0.03642689953771912,0.09157119198142877,18067,14947,2
34,O1_Alpha,O1,Alpha,4297.439144395639,0.0,-0.7248262307373518,0.7248262307373518,0.038898521240922954,0.0951279105102652,18067,14947,3
62,T6_Alpha,T6,Alpha,3111.731820469001,0.0,-0.6167797611061508,0.6167797611061508,0.03790740460546135,0.0771652964466378,18067,14947,4
36,O2_Delta,O2,Delta,3099.1914824234905,0.0,0.6155356893857201,0.6155356893857201,0.8887651267219556,0.8259636151255715,18067,14947,5
26,P3_Alpha,P3,Alpha,2449.7500136229723,0.0,-0.5472552269692262,0.5472552269692262,0.027802707674313556,0.05381157844553929,18067,14947,6
32,O1_Delta,O1,Delta,2221.451771166386,0.0,0.5211316839971994,0.5211316839971994,0.8898157669256942,0.8378195632856223,18067,14947,7
56,T5_Delta,T5,Delta,2142.6470108560798,0.0,0.5118047928965851,0.5118047928965851,0.889606777361261,0.8388629195562614,18067,14947,8
74,Pz_Alpha,Pz,Alpha,2114.0926824858125,0.0,-0.5083830302435535,0.5083830302435535,0.025852002213095013,0.048041922208887575,18067,14947,9
30,P4_Alpha,P4,Alpha,1544.1626517980048,0.0,-0.4344857686996384,0.4344857686996384,0.028506840897662578,0.046959864517444945,18067,14947,10
39,O2_Beta,O2,Beta,1481.98043985048,3.4038514e-317,-0.42564767913679635,0.42564767913679635,0.0056631246050861984,0.0077460549743959325,18067,14947,11
59,T5_Beta,T5,Beta,1463.7380190781282,2.1215098169e-313,-0.42301981463226634,0.42301981463226634,0.005607213007580123,0.0076400994470202975,18067,14947,12
6,Fp2_Alpha,Fp2,Alpha,1429.0187018805311,3.584106409832546e-306,-0.4179727707987656,0.4179727707987656,0.02412562887946264,0.03855347766278001,18067,14947,13
2,Fp1_Alpha,Fp1,Alpha,1358.9720421905354,1.4421610817534927e-291,-0.40760011233760135,0.40760011233760135,0.024243396864702754,0.038287586302586454,18067,14947,14
14,F4_Alpha,F4,Alpha,1102.678526136499,7.177395894045241e-238,-0.36715842016728917,0.36715842016728917,0.02235438430847255,0.03291556931518129,18067,14947,15
60,T6_Delta,T6,Delta,1065.6709527155656,4.402462722425952e-230,0.36094464091889233,0.36094464091889233,0.8884212838511257,0.8557516099599443,18067,14947,16
46,F8_Alpha,F8,Alpha,1045.9437706431763,6.288762892920535e-226,-0.35758821948007463,0.35758821948007463,0.02604235728270475,0.03780155055050914,18067,14947,17
50,T3_Alpha,T3,Alpha,1003.8108364553827,4.794835456227454e-217,-0.3503119672406645,0.3503119672406645,0.02769888824517528,0.04002454001921852,18067,14947,18
66,Fz_Alpha,Fz,Alpha,913.5566829099735,5.571577511991978e-198,-0.33419256482444937,0.33419256482444937,0.023078573046541193,0.03346366921212527,18067,14947,19
24,P3_Delta,P3,Delta,765.1711543858199,1.6070554433108776e-166,0.30584989004091834,0.30584989004091834,0.9057615622912041,0.8829195122172961,18067,14947,20
35,O1_Beta,O1,Beta,758.0222754596688,5.313386768249435e-165,-0.3044177824559467,0.3044177824559467,0.005712135940363686,0.007187155191413778,18067,14947,21
54,T4_Alpha,T4,Alpha,747.4879334121341,9.22231675091668e-163,-0.3022951135539611,0.3022951135539611,0.026287258540692988,0.03558369721489605,18067,14947,22
63,T6_Beta,T6,Beta,676.7463597208747,1.0541126162630084e-147,-0.2876351770745552,0.2876351770745552,0.00567863355143975,0.007052232769553504,18067,14947,23
42,F7_Alpha,F7,Alpha,668.1489946241571,7.165140811422498e-146,-0.2858022829553179,0.2858022829553179,0.026904245654548735,0.03627728071537697,18067,14947,24
10,F3_Alpha,F3,Alpha,659.280257960661,5.5709104644571e-144,-0.2838991351121116,0.2838991351121116,0.022915231417371857,0.030725609603489003,18067,14947,25
91,T6_all_bands,T6,all_bands,654.4357835444089,6.010806017574765e-143,0.28285414858891883,0.28285414858891883,7.628669475031337e-05,5.118880295623623e-06,18067,14947,26
72,Pz_Delta,Pz,Delta,604.8367162182813,2.314188920353157e-132,0.27192435518606084,0.27192435518606084,0.9096592409557491,0.8904741906950572,18067,14947,27
27,P3_Beta,P3,Beta,599.8837674851894,2.644798528188111e-131,-0.2708086854843401,0.2708086854843401,0.004871366030857438,0.0060212973319337315,18067,14947,28
51,T3_Beta,T3,Beta,559.6476240364798,1.0556732015179969e-122,-0.26156905664651614,0.26156905664651614,0.00596889331116211,0.007510269544178454,18067,14947,29
31,P4_Beta,P4,Beta,441.7252499045704,1.9857250153787044e-97,-0.23238342403438753,0.23238342403438753,0.0047777220165507875,0.005729155876229594,18067,14947,30
75,Pz_Beta,Pz,Beta,433.6641387060448,1.070018363382771e-95,-0.23025326066210913,0.23025326066210913,0.004463950426495275,0.005305007066938509,18067,14947,31
3,Fp1_Beta,Fp1,Beta,423.3940788401052,1.7220347173427347e-93,-0.22751048905461124,0.22751048905461124,0.005976175341913895,0.007238890145532178,18067,14947,32
76,Fp1_all_bands,Fp1,all_bands,400.7940739756228,1.2438625815582938e-88,-0.22135517501621055,0.22135517501621055,-5.95020578048301e-05,-3.5439962901350774e-06,18067,14947,33
41,F7_Theta,F7,Theta,398.6542432199315,3.5893397219586275e-88,0.22076347898806206,0.22076347898806206,0.06775986047775825,0.058036627186208715,18067,14947,34
65,Fz_Theta,Fz,Theta,395.9818924791867,1.348475173920838e-87,0.22002229854288166,0.22002229854288166,0.06698839528649607,0.057063260023830914,18067,14947,35
9,F3_Theta,F3,Theta,363.98495322911407,1.039484707170808e-80,0.21094573512678685,0.21094573512678685,0.06491724467112084,0.05585056725545873,18067,14947,36
49,T3_Theta,T3,Theta,356.6836715473556,3.8858051548933414e-79,0.20881930603747606,0.20881930603747606,0.06829986270657515,0.058994151738322356,18067,14947,37
28,P4_Delta,P4,Delta,334.8155326928485,2.006256542570087e-74,0.2023167466267766,0.2023167466267766,0.9056204665837301,0.8913695607211058,18067,14947,38
94,Pz_all_bands,Pz,all_bands,272.36541878098853,6.0787353679979824e-61,0.182475691007667,0.182475691007667,1.919007846782595e-05,-2.1641291876471995e-05,18067,14947,39
18,C3_Alpha,C3,Alpha,271.1711830128528,1.1014386931383845e-60,-0.18207520257651694,0.18207520257651694,0.018864486293546666,0.022901390325136974,18067,14947,40
45,F8_Theta,F8,Theta,271.0945740052088,1.1442493073546436e-60,0.18204948158040887,0.18204948158040887,0.0661634986486317,0.05817072932816627,18067,14947,41
53,T4_Theta,T4,Theta,265.88922187032875,1.527125865213381e-59,0.1802932221814279,0.1802932221814279,0.06631575986106664,0.0583389237826608,18067,14947,42
13,F4_Theta,F4,Theta,258.86953702118586,5.033626707872939e-58,0.1778973617353884,0.1778973617353884,0.06362756061665047,0.056070066697040635,18067,14947,43
61,T6_Theta,T6,Theta,250.5676699331579,3.1461147648843843e-56,0.17502156027474303,0.17502156027474303,0.06799267799197298,0.06003086082386432,18067,14947,44
5,Fp2_Theta,Fp2,Theta,249.8616645592826,4.472308158203773e-56,0.17477481390538066,0.17477481390538066,0.06379901098607772,0.05620656128631143,18067,14947,45
