feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
58,T5_Alpha,T5,Alpha,1957.9937498814775,0.0,-0.5606364024082938,0.5606364024082938,0.043874456530070924,0.09101178730617689,10444,15437,1
38,O2_Alpha,O2,Alpha,1713.1415013912901,0.0,-0.5244115650545453,0.5244115650545453,0.055676719289438625,0.10547553031778163,10444,15437,2
26,P3_Alpha,P3,Alpha,1426.7601471886783,5.728273600076407e-304,-0.47857623385278936,0.47857623385278936,0.029097592295142867,0.053545367877582184,10444,15437,3
34,O1_Alpha,O1,Alpha,1378.5522536673336,4.9555910367943726e-294,-0.470421604665908,0.470421604665908,0.051627201499554756,0.0943992166577651,10444,15437,4
36,O2_Delta,O2,Delta,1157.7227611619192,2.779177897591569e-248,0.43109990642846585,0.43109990642846585,0.8758378502447216,0.826403376762255,10444,15437,5
14,F4_Alpha,F4,Alpha,993.6254195026391,4.86524650126449e-214,-0.39938062234733473,0.39938062234733473,0.02101610084763609,0.032794289236147675,10444,15437,6
6,Fp2_Alpha,Fp2,Alpha,989.2966881140986,3.920172757788563e-213,-0.398509721499134,0.398509721499134,0.02414839581311803,0.0383435799867399,10444,15437,7
56,T5_Delta,T5,Delta,979.367844869956,4.703600340840329e-211,0.3965049041067699,0.3965049041067699,0.8821898275179656,0.8389301379348737,10444,15437,8
74,Pz_Alpha,Pz,Alpha,892.7550519919241,6.966211874559176e-193,-0.3785661697258781,0.3785661697258781,0.029548160162603077,0.04787251996657297,10444,15437,9
46,F8_Alpha,F8,Alpha,841.4399904963706,4.335941850128585e-182,-0.36752527989880274,0.36752527989880274,0.025288046614864737,0.0376641944092933,10444,15437,10
66,Fz_Alpha,Fz,Alpha,826.4602869592228,6.195912991545477e-179,-0.36423916153971564,0.36423916153971564,0.02195905645443325,0.03339235012550062,10444,15437,11
2,Fp1_Alpha,Fp1,Alpha,820.8527246244977,9.411128064692297e-178,-0.3630013705427576,0.3630013705427576,0.02515571524988665,0.03808226763060458,10444,15437,12
39,O2_Beta,O2,Beta,801.0697744480415,1.3933245305303075e-173,-0.35860043781755296,0.35860043781755296,0.005890215457101969,0.007776951233700439,10444,15437,13
32,O1_Delta,O1,Delta,800.7273658253653,1.645368581872556e-173,0.35852378968413456,0.35852378968413456,0.8784415003000905,0.8381274693379569,10444,15437,14
62,T6_Alpha,T6,Alpha,734.0623084543483,1.9669188016021645e-159,-0.34327494425326177,0.34327494425326177,0.05150412958659612,0.07666081458318738,10444,15437,15
50,T3_Alpha,T3,Alpha,657.1053130842595,3.8971012468556034e-143,-0.3247828826238107,0.3247828826238107,0.02807143520439088,0.03993935946556008,10444,15437,16
3,Fp1_Beta,Fp1,Beta,573.9946498490273,1.7672647704666993e-125,0.30354953010660796,0.30354953010660796,0.011365059543361242,0.007238882385251342,10444,15437,17
10,F3_Alpha,F3,Alpha,553.5923402995988,3.8977242222280965e-121,-0.2981059737429553,0.2981059737429553,0.022367813722241402,0.030646513039288826,10444,15437,18
30,P4_Alpha,P4,Alpha,544.2526097824531,3.8052908178793355e-119,-0.2955805839822618,0.2955805839822618,0.03301408601109346,0.04674548361146643,10444,15437,19
42,F7_Alpha,F7,Alpha,487.0416369463776,6.087667154052745e-107,-0.27961385553356444,0.27961385553356444,0.026819567796195445,0.036186379576199273,10444,15437,20
76,Fp1_all_bands,Fp1,all_bands,407.25004318010934,7.156841374263579e-90,-0.25568556622223415,0.25568556622223415,-7.04514514447084e-05,-5.316855638435801e-06,10444,15437,21
24,P3_Delta,P3,Delta,401.90737554654856,9.995820418050545e-89,0.2540028741092687,0.2540028741092687,0.9032553022924844,0.8827049833679227,10444,15437,22
54,T4_Alpha,T4,Alpha,386.4044591253192,2.109120104223663e-85,-0.24905582723057493,0.24905582723057493,0.027572518141693366,0.035491965346895034,10444,15437,23
7,Fp2_Beta,Fp2,Beta,385.11206697916055,3.99330019538796e-85,0.24863897465347312,0.24863897465347312,0.009872985619182494,0.007120032339592839,10444,15437,24
55,T4_Beta,T4,Beta,357.00769909921456,4.3051346194021454e-79,0.23939464625133391,0.23939464625133391,0.011669610293529689,0.007101878985043246,10444,15437,25
35,O1_Beta,O1,Beta,341.57836247670247,8.89646019876123e-76,-0.2341643724113643,0.2341643724113643,0.0060341080129270265,0.00721898959420153,10444,15437,26
59,T5_Beta,T5,Beta,333.3472026373019,5.233366846801114e-74,-0.23132578798662107,0.23132578798662107,0.006408245658035654,0.007679712742427822,10444,15437,27
79,F4_all_bands,F4,all_bands,308.8448120574483,9.783052510030007e-69,-0.22266184224029836,0.22266184224029836,-6.614656799873812e-05,-9.619247393616708e-06,10444,15437,28
88,T3_all_bands,T3,all_bands,282.7726820512626,4.0438170735646816e-63,-0.2130562939150115,0.2130562939150115,-3.683175913207998e-05,6.555548127633776e-06,10444,15437,29
60,T6_Delta,T6,Delta,267.8423318404882,6.703782709124969e-60,0.20735535298368116,0.20735535298368116,0.8763154138044443,0.8557833722416993,10444,15437,30
72,Pz_Delta,Pz,Delta,249.71142384806814,5.487467999225426e-56,0.20021418712287753,0.20021418712287753,0.9056091966003887,0.8901469712310746,10444,15437,31
91,T6_all_bands,T6,all_bands,240.57613234571028,5.157187977698948e-54,0.19651780833952112,0.19651780833952112,5.226915128219917e-05,4.098424260669706e-06,10444,15437,32
51,T3_Beta,T3,Beta,237.51685979482517,2.3625240727597647e-53,0.19526430686587753,0.19526430686587753,0.009758659951151964,0.007589039113363592,10444,15437,33
77,Fp2_all_bands,Fp2,all_bands,229.7548243470049,1.1243204275670761e-51,-0.19204719238257043,0.19204719238257043,-8.51065085203865e-05,-3.8149823191954825e-05,10444,15437,34
27,P3_Beta,P3,Beta,223.07684139191568,3.1240133163401283e-50,-0.1892356193832398,0.1892356193832398,0.005181487769050591,0.006059540896538328,10444,15437,35
18,C3_Alpha,C3,Alpha,193.9782935636483,6.204383089336506e-44,-0.17646241152557116,0.17646241152557116,0.018952390484098042,0.022972272388663454,10444,15437,36
53,T4_Theta,T4,Theta,179.60945013372756,8.070703456573847e-41,0.16980099639853807,0.16980099639853807,0.06637652253987002,0.0586578816937483,10444,15437,37
22,C4_Alpha,C4,Alpha,175.0937796133144,7.695441440959771e-40,-0.1676528735269753,0.1676528735269753,0.0188080110509731,0.022549961453518313,10444,15437,38
49,T3_Theta,T3,Theta,166.33520139847812,6.118064446957964e-38,0.16340589759880553,0.16340589759880553,0.0669623461644832,0.05935052967142341,10444,15437,39
63,T6_Beta,T6,Beta,155.761701626385,1.2089880594646665e-35,-0.1581269827748093,0.1581269827748093,0.006256730842811517,0.007092043168966549,10444,15437,40
70,Cz_Alpha,Cz,Alpha,150.21642035473263,1.937374213506114e-34,-0.15528673080471472,0.15528673080471472,0.01879259459223811,0.022028941920937517,10444,15437,41
90,T5_all_bands,T5,all_bands,140.83952949542342,2.117022041346138e-32,-0.15036194175365833,0.15036194175365833,-2.1508136115683064e-05,8.068517310140631e-06,10444,15437,42
75,Pz_Beta,Pz,Beta,138.56802004728186,6.603769949010214e-32,-0.14914446770620782,0.14914446770620782,0.004716815475034589,0.005352126476286487,10444,15437,43
31,P4_Beta,P4,Beta,135.19666464988512,3.574913698053369e-31,-0.14731895566029207,0.14731895566029207,0.005087913373199484,0.005764090373543529,10444,15437,44
64,Fz_Delta,Fz,Delta,129.4814923292473,6.268738210424019e-30,0.14417152450561713,0.14417152450561713,0.913015595768041,0.9036899948010141,10444,15437,45
92,Fz_all_bands,Fz,all_bands,127.76064660520241,1.4854444914928525e-29,0.14321027981210005,0.14321027981210005,-6.8344153179105246e-06,-4.188166976418001e-05,10444,15437,46
89,T4_all_bands,T4,all_bands,119.65854401485417,8.645161747402045e-28,-0.13859497988801597,0.13859497988801597,-4.513959128276037e-05,-5.198107547811129e-06,10444,15437,47
11,F3_Beta,F3,Beta,114.9038039899583,9.401877956320902e-27,0.1358134701762362,0.1358134701762362,0.007295384408822091,0.006227415693261246,10444,15437,48
28,P4_Delta,P4,Delta,110.03016042176361,1.0867852533133468e-25,0.1329019997701507,0.1329019997701507,0.901093031710212,0.8911163500690242,10444,15437,49
12,F4_Delta,F4,Delta,102.43566198991482,4.9398446240780255e-24,0.12823342201469892,0.12823342201469892,0.9128572192862374,0.9046894294576371,10444,15437,50
45,F8_Theta,F8,Theta,93.47846880502453,4.475242562368858e-22,0.12249868811498558,0.12249868811498558,0.06372852779394131,0.05837604039703007,10444,15437,51
41,F7_Theta,F7,Theta,86.2777066552082,1.682709241347101e-20,0.11768603714061121,0.11768603714061121,0.06331506513951904,0.0582541771566293,10444,15437,52
61,T6_Theta,T6,Theta,83.59863217123072,6.494329559087618e-20,0.11584444908292492,0.11584444908292492,0.06592372576614801,0.0604637700061466,10444,15437,53
84,O1_all_bands,O1,all_bands,83.31829190866608,7.480390969381164e-20,-0.11565004916049938,0.11565004916049938,8.508867120167199e-07,2.871713945083092e-05,10444,15437,54
47,F8_Beta,F8,Beta,79.40788979648183,5.37724104832663e-19,0.11290351691389104,0.11290351691389104,0.00780704951260308,0.006804822886068226,10444,15437,55
25,P3_Theta,P3,Theta,71.72454326303817,2.603770696781908e-17,0.10730242535029967,0.10730242535029967,0.06246561764332203,0.05769010785795673,10444,15437,56
29,P4_Theta,P4,Theta,69.59152238798887,7.65394550978057e-17,0.10569484625215386,0.10569484625215386,0.06080496890549513,0.05637407594596586,10444,15437,57
57,T5_Theta,T5,Theta,67.15016320030652,2.631147691699028e-16,0.10382433998787427,0.10382433998787427,0.06752747029392779,0.06237836201652159,10444,15437,58
5,Fp2_Theta,Fp2,Theta,66.95847592873488,2.8991047048481146e-16,0.10367604527965942,0.10367604527965942,0.060665738495393515,0.056344138843839695,10444,15437,59
4,Fp2_Delta,Fp2,Delta,65.31130380200882,6.672267553195598e-16,0.10239289437751561,0.10239289437751561,0.9053128800723059,0.8981922488298275,10444,15437,60
93,Cz_all_bands,Cz,all_bands,61.71044540986802,4.13237617637002e-15,-0.09953022440506225,0.09953022440506225,-1.3571458482646716e-05,1.1250133785839982e-05,10444,15437,61
1,Fp1_Theta,Fp1,Theta,52.934249168907265,3.5471247785371664e-13,0.0921815531906957,0.0921815531906957,0.06014105427991849,0.056346419537857025,10444,15437,62
67,Fz_Beta,Fz,Beta,48.72481519120829,3.0162137571606742e-12,-0.08844040913417622,0.08844040913417622,0.00502766839449548,0.005447908305919364,10444,15437,63
69,Cz_Theta,Cz,Theta,47.11454582360547,6.846814527651637e-12,0.0869667313103304,0.0869667313103304,0.059401570157070545,0.05573373182160669,10444,15437,64
44,F8_Delta,F8,Delta,46.94854554275339,7.450838280814305e-12,0.08681338970239255,0.08681338970239255,0.9031763760785909,0.8971549423076084,10444,15437,65
80,C3_all_bands,C3,all_bands,43.872164046713294,3.574100048787058e-11,-0.08392090743677677,0.08392090743677677,-3.432558368311125e-05,-1.973330530657341e-05,10444,15437,66
73,Pz_Theta,Pz,Theta,41.949051875042514,9.536365032402993e-11,0.08206098345510196,0.08206098345510196,0.06012582776197359,0.05662838232606597,10444,15437,67
85,O2_all_bands,O2,all_bands,39.258022394234246,3.771866056206001e-10,-0.07938525642198666,0.07938525642198666,-2.478764840208554e-05,-1.465385645021754e-07,10444,15437,68
33,O1_Theta,O1,Theta,39.03717655599728,4.2228654067080035e-10,0.07916165079393046,0.07916165079393046,0.06389719018742773,0.06025432441007655,10444,15437,69
43,F7_Beta,F7,Beta,36.81326122105569,1.3180708556612033e-09,0.07687370078441202,0.07687370078441202,0.008125720924453614,0.0074332037621152825,10444,15437,70
13,F4_Theta,F4,Theta,36.499053568877564,1.5482473656620508e-09,0.07654493248628684,0.07654493248628684,0.059509839345002966,0.056336908357112955,10444,15437,71
8,F3_Delta,F3,Delta,35.3865324093762,2.7382185179547944e-09,0.07536932858209096,0.07536932858209096,0.9116844029014629,0.9070261934436911,10444,15437,72
0,Fp1_Delta,Fp1,Delta,31.878486865139312,1.6584350311746073e-08,0.07153597360565855,0.07153597360565855,0.9033381709268338,0.8983324304462871,10444,15437,73
21,C4_Theta,C4,Theta,31.446743294064124,2.0707628339930554e-08,0.07104990154425088,0.07104990154425088,0.058348098901058354,0.055461750512409556,10444,15437,74
78,F3_all_bands,F3,all_bands,31.430267716503973,2.0883871324301555e-08,-0.07103128687378374,0.07103128687378374,-2.19125701594158e-05,-6.10803832584787e-06,10444,15437,75
87,F8_all_bands,F8,all_bands,29.56185261229672,5.465003286061409e-08,-0.06888766534232149,0.06888766534232149,-6.903835515233072e-06,1.2315555736658711e-05,10444,15437,76
15,F4_Beta,F4,Beta,27.95172671001833,1.253882836115218e-07,0.06698537044404532,0.06698537044404532,0.006616840521123625,0.006179372949102188,10444,15437,77
17,C3_Theta,C3,Theta,26.682498017044168,2.4156001238168177e-07,0.06544687066440287,0.06544687066440287,0.05808835698938139,0.055442116108377806,10444,15437,78
9,F3_Theta,F3,Theta,25.214501465886173,5.163561650340787e-07,0.06362105047247306,0.06362105047247306,0.05865239896747364,0.05609987782375878,10444,15437,79
52,T4_Delta,T4,Delta,22.82279904719505,1.7861883564339244e-06,-0.06052852570225788,0.06052852570225788,0.8943813490249068,0.8987482739743134,10444,15437,80
65,Fz_Theta,Fz,Theta,22.628174232734896,1.9763980948310947e-06,0.060269890129181415,0.060269890129181415,0.05999767938303017,0.057469746767565916,10444,15437,81
