feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
31,P4_Beta,P4,Beta,3639.4859333716686,0.0,1.1241125486178905,1.1241125486178905,0.08379286512513,0.027187239309747983,5999,5540,1
75,Pz_Beta,Pz,Beta,3604.77612409641,0.0,1.118739371297952,1.118739371297952,0.07615250392322055,0.025214390059724288,5999,5540,2
35,O1_Beta,O1,Beta,3353.3350796547943,0.0,1.0790169064469393,1.0790169064469393,0.07533213985005002,0.032872758823136165,5999,5540,3
27,P3_Beta,P3,Beta,3291.9942953109576,0.0,1.0691024143654022,1.0691024143654022,0.08098368814974341,0.031133995426801033,5999,5540,4
63,T6_Beta,T6,Beta,3145.6733491821024,0.0,1.0450728968693626,1.0450728968693626,0.09283043999951793,0.035475228839698364,5999,5540,5
59,T5_Beta,T5,Beta,2892.5288296884637,0.0,1.0021405175774072,1.0021405175774072,0.08840871020609696,0.040334291511367686,5999,5540,6
19,C3_Beta,C3,Beta,2873.7524103762285,0.0,0.9988825990747072,0.9988825990747072,0.08580897009003208,0.032412019911883444,5999,5540,7
39,O2_Beta,O2,Beta,2707.0979053345545,0.0,0.9694864750006772,0.9694864750006772,0.0758556979344146,0.03577812647615654,5999,5540,8
65,Fz_Theta,Fz,Theta,2677.4041160780744,0.0,-0.9641547311561028,0.9641547311561028,0.24141288615878892,0.45292480510902383,5999,5540,9
61,T6_Theta,T6,Theta,2345.4362924536395,0.0,-0.9024052096021729,0.9024052096021729,0.22385701321869125,0.42534761380619707,5999,5540,10
49,T3_Theta,T3,Theta,2246.9046433391864,0.0,-0.8832468438220011,0.8832468438220011,0.2103782068221463,0.3944702805976334,5999,5540,11
23,C4_Beta,C4,Beta,2113.326373422886,0.0,0.8565901178168781,0.8565901178168781,0.08288368139485844,0.035652535936379806,5999,5540,12
45,F8_Theta,F8,Theta,2080.7446672321053,0.0,-0.849961332047214,0.849961332047214,0.19097525953325017,0.35018559303728686,5999,5540,13
29,P4_Theta,P4,Theta,2055.087854127529,0.0,-0.8447048146830959,0.8447048146830959,0.23861420122294713,0.42821067381588374,5999,5540,14
17,C3_Theta,C3,Theta,2048.6207484893775,0.0,-0.8433746769670222,0.8433746769670222,0.24392176556898124,0.41983251084595974,5999,5540,15
13,F4_Theta,F4,Theta,2034.1467539513137,0.0,-0.8403900741980729,0.8403900741980729,0.22794417728268432,0.3945263326704736,5999,5540,16
71,Cz_Beta,Cz,Beta,1981.1015137186694,0.0,0.829360100682106,0.829360100682106,0.06820411124940665,0.029729618166284652,5999,5540,17
33,O1_Theta,O1,Theta,1678.290483714622,0.0,-0.7633493486579201,0.7633493486579201,0.2489565748057527,0.4157129492195392,5999,5540,18
73,Pz_Theta,Pz,Theta,1650.4107156586392,0.0,-0.7569824148634273,0.7569824148634273,0.24850795460657837,0.40496994485755217,5999,5540,19
69,Cz_Theta,Cz,Theta,1516.3184146061408,9.65424149097e-312,-0.725579456497888,0.725579456497888,0.24897867892533998,0.37176757997588344,5999,5540,20
67,Fz_Beta,Fz,Beta,1439.9521656835643,4.944300356315409e-297,0.7070722710116277,0.7070722710116277,0.058195174068814845,0.024912842355000398,5999,5540,21
53,T4_Theta,T4,Theta,1359.3777362261694,2.0360678339759533e-281,-0.6870049239015211,0.6870049239015211,0.20274390985530935,0.3207187658036038,5999,5540,22
51,T3_Beta,T3,Beta,1298.1567220632992,1.7328266595076162e-269,0.671356714168494,0.671356714168494,0.16077951719715602,0.08221478026209818,5999,5540,23
21,C4_Theta,C4,Theta,1254.4916570006615,6.063467838461924e-261,-0.6599691909456503,0.6599691909456503,0.23662480315605222,0.35327451741570903,5999,5540,24
64,Fz_Delta,Fz,Delta,1235.9768845344,2.5965427864830104e-257,0.6550809160025851,0.6550809160025851,0.5673380863141335,0.4150722595952194,5999,5540,25
25,P3_Theta,P3,Theta,1193.2094779464019,6.661328020061589e-249,-0.6436475500999372,0.6436475500999372,0.24082840394423172,0.3559678042016704,5999,5540,26
15,F4_Beta,F4,Beta,1132.8112367892747,5.598613322689906e-237,0.6271458423841498,0.6271458423841498,0.08143663126761982,0.03791189958666564,5999,5540,27
1,Fp1_Theta,Fp1,Theta,1113.8613060427492,3.171215332124552e-233,-0.6218781988759736,0.6218781988759736,0.1890156923204187,0.30446481178961865,5999,5540,28
9,F3_Theta,F3,Theta,1084.0350141195772,2.6303766022640067e-227,-0.613495566186747,0.613495566186747,0.22593967144146887,0.3308071179333924,5999,5540,29
16,C3_Delta,C3,Delta,1019.5098183081399,1.875277499880895e-214,0.5949568644071447,0.5949568644071447,0.49873346949104713,0.37217325505209475,5999,5540,30
11,F3_Beta,F3,Beta,987.2303729669406,5.346201486576174e-208,0.5854624253229761,0.5854624253229761,0.0817300114975892,0.043091491890030455,5999,5540,31
41,F7_Theta,F7,Theta,947.8473977547761,4.230488087634253e-200,-0.5736658328836894,0.5736658328836894,0.1984806210612246,0.2943898229869855,5999,5540,32
43,F7_Beta,F7,Beta,896.9457522446143,7.453161657798784e-190,0.5580496782613116,0.5580496782613116,0.09383641061500278,0.05040523840309864,5999,5540,33
57,T5_Theta,T5,Theta,884.3181035243948,2.6347549874234693e-187,-0.5541075035462498,0.5541075035462498,0.2427327371844982,0.3481431500798817,5999,5540,34
28,P4_Delta,P4,Delta,881.8846366936896,8.168517580099195e-187,0.5533445817327663,0.5533445817327663,0.46460277317468435,0.3526450833387021,5999,5540,35
60,T6_Delta,T6,Delta,861.9239388551206,8.84322316099196e-183,0.5470465012714892,0.5470465012714892,0.46445487946173886,0.3514740818903921,5999,5540,36
37,O2_Theta,O2,Theta,837.0727807116806,9.523104555966587e-178,-0.5391025466642089,0.5391025466642089,0.23539181924399263,0.32974626018383446,5999,5540,37
47,F8_Beta,F8,Beta,754.6095491229901,5.6363133865865e-161,0.5118596809748479,0.5118596809748479,0.0913362739269534,0.047978455090969846,5999,5540,38
12,F4_Delta,F4,Delta,732.3179862033696,2.0165024148207549e-156,0.5042427048439504,0.5042427048439504,0.5619162985094343,0.4451490923217696,5999,5540,39
72,Pz_Delta,Pz,Delta,715.3603103463237,5.946938999159483e-153,0.498370346863652,0.498370346863652,0.47044673144185806,0.3713323435257986,5999,5540,40
32,O1_Delta,O1,Delta,633.1448220336086,4.639126379709459e-136,0.4688579702347172,0.4688579702347172,0.45137482997240047,0.35896699621738093,5999,5540,41
5,Fp2_Theta,Fp2,Theta,618.4716105555831,4.938064447645964e-133,-0.4633932015249288,0.4633932015249288,0.18518655986916774,0.2579488370669926,5999,5540,42
44,F8_Delta,F8,Delta,556.786095765162,2.889793918364127e-120,0.4396772189446263,0.4396772189446263,0.5988607350616685,0.49273635095998597,5999,5540,43
68,Cz_Delta,Cz,Delta,484.3911032550177,3.3992401354089447e-105,0.4100981898129985,0.4100981898129985,0.515338787508753,0.4348904839941543,5999,5540,44
20,C4_Delta,C4,Delta,455.8225027766077,3.1968330337140527e-99,0.39782095354612107,0.39782095354612107,0.509923495850229,0.43016501132347085,5999,5540,45
24,P3_Delta,P3,Delta,455.34863496171465,4.017226475451959e-99,0.397614114738584,0.397614114738584,0.47236204109389957,0.3947123999696684,5999,5540,46
55,T4_Beta,T4,Beta,453.07874879695794,1.2000371712140547e-98,0.3966218350911984,0.3966218350911984,0.13954819302033933,0.09720000811200862,5999,5540,47
48,T3_Delta,T3,Delta,447.10129019642824,2.143924826475459e-97,0.39399683660725277,0.39399683660725277,0.45440188934287684,0.3694072668565517,5999,5540,48
7,Fp2_Beta,Fp2,Beta,346.558734743934,3.098080275740328e-76,0.34687915136736674,0.34687915136736674,0.08222454205587684,0.04904320691143513,5999,5540,49
3,Fp1_Beta,Fp1,Beta,345.60686738427233,4.924302120804963e-76,0.34640245010002185,0.34640245010002185,0.08432046713456304,0.0504533397528279,5999,5540,50
52,T4_Delta,T4,Delta,270.47800540930984,4.3019434582872074e-60,0.30644726586688337,0.30644726586688337,0.48380083445615935,0.4200871279570274,5999,5540,51
36,O2_Delta,O2,Delta,247.93047638410107,2.7577649058249396e-55,0.29339636627069726,0.29339636627069726,0.4512083503557543,0.39550585628112883,5999,5540,52
56,T5_Delta,T5,Delta,230.92035152744933,1.1861976251269582e-51,0.2831528115699371,0.2831528115699371,0.4610416847744023,0.40402359431790885,5999,5540,53
0,Fp1_Delta,Fp1,Delta,228.3779439419461,4.147587936701481e-51,0.28158975679423703,0.28158975679423703,0.6327954515894962,0.5631239186645323,5999,5540,54
8,F3_Delta,F3,Delta,202.870172078633,1.2026262463068584e-45,0.26539874943846115,0.26539874943846115,0.5606542987707948,0.502617044391339,5999,5540,55
66,Fz_Alpha,Fz,Alpha,170.3806661001533,1.147451822729087e-38,0.24322036127477917,0.24322036127477917,0.1330538534582628,0.10709009294075639,5999,5540,56
4,Fp2_Delta,Fp2,Delta,109.23187859784642,1.875411077844777e-25,0.19474417428913637,0.19474417428913637,0.6371874050949498,0.589913998872782,5999,5540,57
62,T6_Alpha,T6,Alpha,95.0755590452715,2.235806844452695e-22,0.18168715197504687,0.18168715197504687,0.218857667320052,0.1877030754637125,5999,5540,58
34,O1_Alpha,O1,Alpha,94.1118433159315,3.6236852146554127e-22,0.18076398762589144,0.18076398762589144,0.22433645537179678,0.19244729573994374,5999,5540,59
40,F7_Delta,F7,Delta,80.55874369639093,3.257131593429798e-19,0.16724229391668416,0.16724229391668416,0.5862749133841504,0.5482396134655877,5999,5540,60
50,T3_Alpha,T3,Alpha,78.12320996248069,1.108038721035081e-18,0.1646947719047434,0.1646947719047434,0.1744403866378209,0.15390767228371674,5999,5540,61
42,F7_Alpha,F7,Alpha,59.179316267159614,1.5564219691821522e-14,0.1433424241933076,0.1433424241933076,0.12140805493962231,0.10696532514432813,5999,5540,62
2,Fp1_Alpha,Fp1,Alpha,44.9384768760419,2.128035537413703e-11,0.1249105002407436,0.1249105002407436,0.09386838895552196,0.08195792979302115,5999,5540,63
30,P4_Alpha,P4,Alpha,41.84281006314559,1.0291349677893812e-10,0.12053139828787907,0.12053139828787907,0.21299016047723854,0.19195700353566617,5999,5540,64
46,F8_Alpha,F8,Alpha,25.31396861590267,4.9450328638794e-07,0.09374970115551681,0.09374970115551681,0.11882773147812795,0.10909960091175734,5999,5540,65
54,T4_Alpha,T4,Alpha,23.268972624497085,1.4265551722012206e-06,0.08988316937094959,0.08988316937094959,0.17390706266819203,0.1619940981273602,5999,5540,66
6,Fp2_Alpha,Fp2,Alpha,17.55762543462828,2.808063161870129e-05,-0.07807691827443188,0.07807691827443188,0.09540149298000562,0.10309395714879033,5999,5540,67
10,F3_Alpha,F3,Alpha,17.474555726296988,2.9332746115704152e-05,0.0778919981498578,0.0778919981498578,0.1316760182901472,0.12348434578523818,5999,5540,68
26,P3_Alpha,P3,Alpha,17.3674774462508,3.102990855115292e-05,-0.07765298327484038,0.07765298327484038,0.2058258668121254,0.21818580040186017,5999,5540,69
22,C4_Alpha,C4,Alpha,16.00176415770164,6.367847759292048e-05,-0.07453730839728062,0.07453730839728062,0.17056801959886034,0.1809079353244403,5999,5540,70
14,F4_Alpha,F4,Alpha,10.378440187943276,0.001278490628072655,0.06002826854281966,0.06002826854281966,0.12870289294026163,0.12241267542109123,5999,5540,71
74,Pz_Alpha,Pz,Alpha,4.413602020060104,0.03567512359944744,0.03914590683791022,0.03914590683791022,0.20489281002834303,0.19848332155692502,5999,5540,72
70,Cz_Alpha,Cz,Alpha,3.0993978964291053,0.07834774868910506,0.03280412365629584,0.03280412365629584,0.16747842231650037,0.1636123178636776,5999,5540,73
18,C3_Alpha,C3,Alpha,2.522495352835537,0.1122602608594799,-0.029594087991416843,0.029594087991416843,0.17153579484993955,0.175582214190062,5999,5540,74
83,P4_all_bands,P4,all_bands,0.2486029390869507,0.6180700188366981,0.009290581612578591,0.009290581612578591,5.183221842854635e-08,4.8453649910298264e-08,5999,5540,75
94,Pz_all_bands,Pz,all_bands,0.19022287292540363,0.6627393478875009,0.008126829372795314,0.008126829372795314,5.070590525407042e-08,4.783042324194888e-08,5999,5540,76
38,O2_Alpha,O2,Alpha,0.18908310697610997,0.6636889708105227,-0.008102445869715662,0.008102445869715662,0.23754413246583841,0.23896975705888016,5999,5540,77
93,Cz_all_bands,Cz,all_bands,0.1569487467218271,0.691988737100288,0.0073819092079239765,0.0073819092079239765,5.168173143858768e-08,4.883770461561463e-08,5999,5540,78
88,T3_all_bands,T3,all_bands,0.14721389296080728,0.701219278302873,0.007149310711518746,0.007149310711518746,5.0396133976162143e-08,4.758030182714806e-08,5999,5540,79
80,C3_all_bands,C3,all_bands,0.10988949428545858,0.7402760011802056,0.006176861460079637,0.006176861460079637,4.994196399832356e-08,4.773374052730069e-08,5999,5540,80
91,T6_all_bands,T6,all_bands,0.09579397309063721,0.756942227195556,0.005767118383718223,0.005767118383718223,5.018793855831984e-08,4.8257966329905413e-08,5999,5540,81
85,O2_all_bands,O2,all_bands,0.07633130981348658,0.78233703166088,0.005148030730706423,0.005148030730706423,5.103516021352003e-08,4.9233463549287857e-08,5999,5540,82
82,P3_all_bands,P3,all_bands,0.04357738568896956,0.8346455515684141,0.0038897380882299683,0.0038897380882299683,5.027385156107566e-08,4.896667671539608e-08,5999,5540,83
92,Fz_all_bands,Fz,all_bands,0.0248521131176308,0.8747388832590691,0.0029374564337963415,0.0029374564337963415,4.9135692534721337e-08,4.7751371151820456e-08,5999,5540,84
89,T4_all_bands,T4,all_bands,0.023108528631379622,0.8791778449276306,0.0028325391442200506,0.0028325391442200506,5.0752057593911456e-08,4.9652240314456525e-08,5999,5540,85
90,T5_all_bands,T5,all_bands,0.019711766101523844,0.8883475171280981,0.002616089164062774,0.002616089164062774,5.032556596765014e-08,4.946686268016595e-08,5999,5540,86
81,C4_all_bands,C4,all_bands,0.019289877546725974,0.8895410749505105,0.002587941820323138,0.002587941820323138,5.025011508274907e-08,4.932048126313355e-08,5999,5540,87
84,O1_all_bands,O1,all_bands,0.016687942546205266,0.8972160333174004,0.002407083585262954,0.002407083585262954,5.02718813525791e-08,4.931078780108299e-08,5999,5540,88
58,T5_Alpha,T5,Alpha,0.012673403525817566,0.9103685037543634,0.0020976663184566575,0.0020976663184566575,0.20781686783500247,0.2074989640908417,5999,5540,89
77,Fp2_all_bands,Fp2,all_bands,0.00566147957300296,0.9400228326742925,-0.0014020217327591253,0.0014020217327591253,4.735513049925216e-08,4.889790923614806e-08,5999,5540,90
86,F7_all_bands,F7,all_bands,0.004008039458044109,0.949521483204949,-0.0011796570500321997,0.0011796570500321997,5.030819940670492e-08,5.103510501317872e-08,5999,5540,91
79,F4_all_bands,F4,all_bands,0.003326287979711811,0.9540093188660624,0.0010746565660573334,0.0010746565660573334,4.876731013142419e-08,4.8210078842627514e-08,5999,5540,92
76,Fp1_all_bands,Fp1,all_bands,0.0020153083254513793,0.9641940225123992,-0.0008364895558182537,0.0008364895558182537,4.748958120020872e-08,4.8556839543402275e-08,5999,5540,93
78,F3_all_bands,F3,all_bands,0.001708085408437782,0.9670343373599303,0.0007700954628585195,0.0007700954628585195,4.94614566575782e-08,4.908752729595776e-08,5999,5540,94
87,F8_all_bands,F8,all_bands,0.0005291199473871094,0.9816485909058238,-0.0004286144816709578,0.0004286144816709578,4.815934522554053e-08,4.846219369706445e-08,5999,5540,95
