feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
50,T3_Alpha,T3,Alpha,465.76724009899016,4.811227379275821e-102,0.3178341848283893,0.3178341848283893,0.4286979326736941,0.3536504986395831,9921,8614,1
7,Fp2_Beta,Fp2,Beta,404.4085591544355,5.374599501446293e-89,0.29615993493771675,0.29615993493771675,0.05498767924768285,0.03954661481102251,9921,8614,2
6,Fp2_Alpha,Fp2,Alpha,383.19809093111076,1.7852808511139248e-84,0.28828882299405756,0.28828882299405756,0.2794882123967548,0.2215708693684155,9921,8614,3
4,Fp2_Delta,Fp2,Delta,356.8922465191373,7.365206129926668e-79,-0.2782176597293916,0.2782176597293916,0.5291886537369231,0.5911172907414564,9921,8614,4
29,P4_Theta,P4,Theta,335.9053217887503,2.2576965903019397e-74,-0.2699134826652466,0.2699134826652466,0.1576954036765781,0.18195692330812563,9921,8614,5
3,Fp1_Beta,Fp1,Beta,331.4243252086373,2.0527711387182637e-73,0.2681071073519882,0.2681071073519882,0.04181216494217649,0.03224651435475955,9921,8614,6
74,Pz_Alpha,Pz,Alpha,317.91353679854484,1.601353212011619e-70,0.26258544336907524,0.26258544336907524,0.40332051032006894,0.34266292890679356,9921,8614,7
25,P3_Theta,P3,Theta,315.89748292252546,4.3277015724457856e-70,-0.2617515242536845,0.2617515242536845,0.13637715498286776,0.1591498341940429,9921,8614,8
9,F3_Theta,F3,Theta,313.28515784460075,1.5696758312542473e-69,-0.260666995855759,0.260666995855759,0.1524702291310384,0.175039750264552,9921,8614,9
72,Pz_Delta,Pz,Delta,287.33867226920023,5.734919506960028e-64,-0.24963942694700986,0.24963942694700986,0.37841253276648945,0.4310092494715564,9921,8614,10
48,T3_Delta,T3,Delta,241.08810930504268,4.986983471030687e-54,-0.22866728333821298,0.22866728333821298,0.3690328124625975,0.4189181946761828,9921,8614,11
2,Fp1_Alpha,Fp1,Alpha,236.05806117459412,6.035313752516705e-53,0.22626925897285782,0.22626925897285782,0.26705900401770033,0.2189157538694819,9921,8614,12
49,T3_Theta,T3,Theta,230.6686461455252,8.736838043831445e-52,-0.22367138140240667,0.22367138140240667,0.14424459943091,0.16547143353768903,9921,8614,13
0,Fp1_Delta,Fp1,Delta,225.96973015601802,8.988142929837814e-51,-0.22138147166267966,0.22138147166267966,0.5593773477177097,0.6116701363815216,9921,8614,14
42,F7_Alpha,F7,Alpha,225.72741750198824,1.013636300066578e-50,0.2212627435471148,0.2212627435471148,0.32697454516356406,0.2782129113098082,9921,8614,15
40,F7_Delta,F7,Delta,204.57833098844043,3.686111757619036e-46,-0.21064247657964477,0.21064247657964477,0.4606127403391467,0.5079845077106911,9921,8614,16
62,T6_Alpha,T6,Alpha,197.5556611196135,1.209442083200364e-44,0.20699548670846893,0.20699548670846893,0.4111595438104641,0.3613560720294334,9921,8614,17
43,F7_Beta,F7,Beta,186.93440103680882,2.3825331205406997e-42,0.20135422742857087,0.20135422742857087,0.05139764426294328,0.044017258800226146,9921,8614,18
35,O1_Beta,O1,Beta,174.33625843813346,1.2621935608510225e-39,-0.1944509177226988,0.1944509177226988,0.06889934265617118,0.08207060558154383,9921,8614,19
22,C4_Alpha,C4,Alpha,172.96055015046724,2.5047782363114906e-39,0.1936821804333713,0.1936821804333713,0.2634186371009832,0.22239338345952292,9921,8614,20
47,F8_Beta,F8,Beta,162.99020671150612,3.605645376438472e-37,0.18801690178135502,0.18801690178135502,0.06407501705994643,0.055638828898152574,9921,8614,21
46,F8_Alpha,F8,Alpha,154.411540292474,2.603143781247984e-35,0.18300207506951496,0.18300207506951496,0.34047887634661783,0.30190350889649803,9921,8614,22
31,P4_Beta,P4,Beta,154.02935289147445,3.1501492020891315e-35,0.18277545852537833,0.18277545852537833,0.08764138453198049,0.07272035727167873,9921,8614,23
60,T6_Delta,T6,Delta,146.28921312546478,1.5015296562215118e-33,-0.17812393823096964,0.17812393823096964,0.3737454818254413,0.4135051775965957,9921,8614,24
44,F8_Delta,F8,Delta,120.20117249264975,6.962576697729347e-28,-0.16146205983259002,0.16146205983259002,0.423348997869001,0.4571569491502742,9921,8614,25
32,O1_Delta,O1,Delta,119.25735508604643,1.1170564530775976e-27,0.16082691201378488,0.16082691201378488,0.36942404037659926,0.3371126980396009,9921,8614,26
11,F3_Beta,F3,Beta,117.27180019604621,3.0203861223962294e-27,0.1594824624284779,0.1594824624284779,0.0864435578379248,0.07409057520619486,9921,8614,27
55,T4_Beta,T4,Beta,100.58164154449862,1.3051578993547942e-23,-0.14769829987980493,0.14769829987980493,0.044944290646351415,0.050313414491061303,9921,8614,28
66,Fz_Alpha,Fz,Alpha,97.39292922404604,6.474828357323942e-23,0.1453382245872434,0.1453382245872434,0.33257562169713345,0.30011193693622035,9921,8614,29
20,C4_Delta,C4,Delta,92.09942160110504,9.261517542586276e-22,-0.14133332883050223,0.14133332883050223,0.5665382919218981,0.5998310608268982,9921,8614,30
5,Fp2_Theta,Fp2,Theta,85.05532260762911,3.2050766600480993e-20,-0.13582098781551402,0.13582098781551402,0.13633545461863916,0.1477652250791056,9921,8614,31
45,F8_Theta,F8,Theta,83.70903914826955,6.312863162080825e-20,-0.13474179080671575,0.13474179080671575,0.1720971087244348,0.1853007130550752,9921,8614,32
54,T4_Alpha,T4,Alpha,80.23363915802098,3.635230585969205e-19,0.13191506084852123,0.13191506084852123,0.31466849353845316,0.2856687899650574,9921,8614,33
69,Cz_Theta,Cz,Theta,79.03636102955568,6.646282329407356e-19,-0.13092711699109577,0.13092711699109577,0.1962960054444983,0.21004334573320804,9921,8614,34
65,Fz_Theta,Fz,Theta,76.32302594797432,2.610255139561332e-18,-0.1286601125028484,0.1286601125028484,0.17697424405000242,0.19038475030397187,9921,8614,35
13,F4_Theta,F4,Theta,65.7158247908584,5.529989934704946e-16,-0.11938537232164448,0.11938537232164448,0.1541995447394136,0.16575138240806084,9921,8614,36
