experiment,pipeline,strategy,P,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
ANOVA_L_6_FTD,FTest,Random-50,6,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_8_2689,0.6666666666666666,6,0.6665578053559765,3062,0.00010886131069010041
ANOVA_L_6_FTD,FTest,Random-50,6,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_8_0356,0.6666666666666666,6,0.6463096015676029,3062,0.020357065099063765
ANOVA_L_6_FTD,FTest,Random-50,6,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_8_9284,0.6666666666666666,6,0.6642717178314826,3062,0.0023949488351839854
ANOVA_L_6_FTD,FTest,Random-50,6,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_29_0356,0.6666666666666666,6,0.6641684511063526,2802,0.0024982155603140432
ANOVA_L_6_FTD,FTest,Random-50,6,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_29_2689,0.6666666666666666,6,0.7027123483226267,2802,-0.036045681655960116
ANOVA_L_6_FTD,FTest,Random-50,6,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_29_9284,0.6666666666666666,6,0.7098501070663812,2802,-0.04318344039971456
ANOVA_L_6_FTD,FTest,Random-50,6,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_25_0356,0.6666666666666666,6,0.5160377358490567,3180,0.15062893081760997
ANOVA_L_6_FTD,FTest,Random-50,6,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_25_2689,0.6666666666666666,6,0.5371069182389937,3180,0.12955974842767293
ANOVA_L_6_FTD,FTest,Random-50,6,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_25_9284,0.6666666666666666,6,0.5465408805031446,3180,0.12012578616352199
ANOVA_L_6_FTD,FTest,Random-50,6,sub-42_sub-53_sub-61_sub-66_sub-74_sub-82,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_22_2689,0.5,6,0.5883495145631068,3090,-0.0883495145631068
ANOVA_L_6_FTD,FTest,Random-50,6,sub-42_sub-53_sub-61_sub-66_sub-74_sub-82,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_22_0356,0.6666666666666666,6,0.584789644012945,3090,0.08187702265372165
ANOVA_L_6_FTD,FTest,Random-50,6,sub-42_sub-53_sub-61_sub-66_sub-74_sub-82,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_22_9284,0.5,6,0.5838187702265372,3090,-0.08381877022653716
ANOVA_L_6_FTD,FTest,Random-50,6,sub-54_sub-57_sub-59_sub-72_sub-83_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_46_9284,0.8333333333333334,6,0.6881924659702437,3159,0.14514086736308962
ANOVA_L_6_FTD,FTest,Random-50,6,sub-54_sub-57_sub-59_sub-72_sub-83_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_46_2689,0.8333333333333334,6,0.6875593542260209,3159,0.1457739791073125
ANOVA_L_6_FTD,FTest,Random-50,6,sub-54_sub-57_sub-59_sub-72_sub-83_sub-88,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_46_0356,0.6666666666666666,6,0.6467236467236467,3159,0.019943019943019946
