experiment,feature_set,P,condition,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
PCA_L_6_EC,PCA,6,EC,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_6_0851,0.5,6,0.5270034843205574,1148,-0.027003484320557436
PCA_L_6_EC,PCA,6,EC,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_6_1379,0.5,6,0.4808362369337979,1148,0.0191637630662021
PCA_L_6_EC,PCA,6,EC,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_6_2731,0.5,6,0.4799651567944251,1148,0.020034843205574915
PCA_L_6_EC,PCA,6,EC,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_5_2731,0.5,6,0.48138528138528136,1155,0.01861471861471864
PCA_L_6_EC,PCA,6,EC,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_5_1379,0.5,6,0.48138528138528136,1155,0.01861471861471864
PCA_L_6_EC,PCA,6,EC,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_5_0851,0.5,6,0.4753246753246753,1155,0.024675324675324684
PCA_L_6_EC,PCA,6,EC,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_49_2731,0.5,6,0.49362786745964315,1177,0.006372132540356845
PCA_L_6_EC,PCA,6,EC,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_49_0851,0.6666666666666666,6,0.6117247238742566,1177,0.05494194279241005
PCA_L_6_EC,PCA,6,EC,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_49_1379,0.5,6,0.49362786745964315,1177,0.006372132540356845
PCA_L_6_EC,PCA,6,EC,sub-3_sub-17_sub-27_sub-35_sub-38_sub-49,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_15_2731,0.5,6,0.4974916387959866,1196,0.0025083612040133763
PCA_L_6_EC,PCA,6,EC,sub-3_sub-17_sub-27_sub-35_sub-38_sub-49,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_15_0851,0.5,6,0.4908026755852843,1196,0.009197324414715713
PCA_L_6_EC,PCA,6,EC,sub-3_sub-17_sub-27_sub-35_sub-38_sub-49,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_15_1379,0.5,6,0.49581939799331104,1196,0.00418060200668896
PCA_L_6_EC,PCA,6,EC,sub-4_sub-24_sub-26_sub-35_sub-38_sub-56,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_23_2731,0.5,6,0.4957482993197279,1176,0.004251700680272086
PCA_L_6_EC,PCA,6,EC,sub-4_sub-24_sub-26_sub-35_sub-38_sub-56,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_23_1379,0.5,6,0.4957482993197279,1176,0.004251700680272086
PCA_L_6_EC,PCA,6,EC,sub-4_sub-24_sub-26_sub-35_sub-38_sub-56,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_23_0851,0.5,6,0.5025510204081632,1176,-0.0025510204081632404
PCA_L_6_EC,PCA,6,EC,sub-9_sub-23_sub-27_sub-50_sub-57_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_48_2731,0.5,6,0.49747474747474746,1188,0.0025252525252525415
PCA_L_6_EC,PCA,6,EC,sub-9_sub-23_sub-27_sub-50_sub-57_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_48_0851,0.6666666666666666,6,0.6178451178451179,1188,0.048821548821548766
PCA_L_6_EC,PCA,6,EC,sub-9_sub-23_sub-27_sub-50_sub-57_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_48_1379,0.5,6,0.49747474747474746,1188,0.0025252525252525415
PCA_L_6_EC,PCA,6,EC,sub-7_sub-15_sub-20_sub-49_sub-52_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_36_0851,0.5,6,0.4837133550488599,1228,0.016286644951140072
PCA_L_6_EC,PCA,6,EC,sub-7_sub-15_sub-20_sub-49_sub-52_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_36_1379,0.5,6,0.4812703583061889,1228,0.018729641693811083
PCA_L_6_EC,PCA,6,EC,sub-7_sub-15_sub-20_sub-49_sub-52_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_36_2731,0.5,6,0.4812703583061889,1228,0.018729641693811083
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_9_2731,0.5,6,0.4987384356602187,1189,0.001261564339781307
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_9_1379,0.5,6,0.4978973927670311,1189,0.0021026072329689005
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-24_sub-37_sub-51_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_9_0851,0.5,6,0.471825063078217,1189,0.028174936921783023
PCA_L_6_EC,PCA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_26_0851,0.5,6,0.5,1180,0.0
PCA_L_6_EC,PCA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_26_1379,0.5,6,0.49491525423728816,1180,0.00508474576271184
PCA_L_6_EC,PCA,6,EC,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_26_2731,0.5,6,0.49491525423728816,1180,0.00508474576271184
PCA_L_6_EC,PCA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_8_2731,0.5,6,0.46112115732368897,1106,0.03887884267631103
PCA_L_6_EC,PCA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_8_1379,0.5,6,0.4755877034358047,1106,0.0244122965641953
PCA_L_6_EC,PCA,6,EC,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_8_0851,0.5,6,0.4755877034358047,1106,0.0244122965641953
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_10_1379,0.5,6,0.46126126126126127,1110,0.03873873873873873
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_10_0851,0.5,6,0.4594594594594595,1110,0.040540540540540515
PCA_L_6_EC,PCA,6,EC,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_10_2731,0.5,6,0.46126126126126127,1110,0.03873873873873873
PCA_L_6_EC,PCA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_47_1379,0.5,6,0.49916107382550334,1192,0.000838926174496657
PCA_L_6_EC,PCA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_47_0851,0.5,6,0.5285234899328859,1192,-0.028523489932885893
PCA_L_6_EC,PCA,6,EC,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_47_2731,0.5,6,0.49916107382550334,1192,0.000838926174496657
PCA_L_6_EC,PCA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_32_2731,0.5,6,0.48212728857890147,1147,0.01787271142109853
PCA_L_6_EC,PCA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_32_1379,0.5,6,0.48212728857890147,1147,0.01787271142109853
PCA_L_6_EC,PCA,6,EC,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_32_0851,0.5,6,0.5030514385353095,1147,-0.0030514385353095363
PCA_L_6_EC,PCA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_18_2731,0.5,6,0.4995801847187238,1191,0.0004198152812762146
PCA_L_6_EC,PCA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_18_0851,0.5,6,0.49286314021830396,1191,0.007136859781696037
PCA_L_6_EC,PCA,6,EC,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_18_1379,0.5,6,0.4995801847187238,1191,0.0004198152812762146
PCA_L_6_EC,PCA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_1_0851,0.5,6,0.510221465076661,1174,-0.010221465076660996
PCA_L_6_EC,PCA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_1_1379,0.5,6,0.5,1174,0.0
PCA_L_6_EC,PCA,6,EC,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_1_2731,0.5,6,0.5,1174,0.0
PCA_L_6_EC,PCA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_16_1379,0.5,6,0.4961896697713802,1181,0.003810330228619818
PCA_L_6_EC,PCA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_16_0851,0.5,6,0.4928027095681626,1181,0.007197290431837422
PCA_L_6_EC,PCA,6,EC,sub-3_sub-21_sub-26_sub-31_sub-38_sub-61,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_16_2731,0.5,6,0.4953429297205758,1181,0.004657070279424191
