fold,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6
1,1,6,11,50,59,64
2,1,13,29,40,45,53
3,1,16,30,49,55,56
4,1,33,35,38,40,61
5,2,11,19,41,62,63
6,3,26,30,40,52,63
7,4,5,21,39,49,58
8,4,8,16,38,61,65
9,4,11,23,38,43,64
10,4,20,35,37,45,53
11,4,24,28,39,57,60
12,4,28,35,41,49,57
13,5,11,34,45,54,64
14,5,16,26,45,53,59
15,5,23,24,54,57,58
16,5,25,27,41,54,63
17,6,9,11,40,55,64
18,6,11,27,47,49,52
19,6,16,32,39,46,55
20,6,18,32,41,48,49
21,6,26,27,49,62,63
22,7,13,18,48,54,60
23,7,14,26,38,41,52
24,7,14,26,38,42,60
25,7,17,28,43,46,49
26,7,18,36,39,40,55
27,7,29,36,56,58,64
28,8,10,34,37,43,60
29,9,26,29,39,44,65
30,9,29,32,46,50,51
31,10,18,25,41,53,62
32,10,21,28,38,41,52
33,10,28,35,49,51,60
34,10,30,34,40,53,54
35,10,30,36,43,46,52
36,11,22,23,43,64,65
37,12,13,19,46,58,63
38,12,15,24,39,57,58
39,12,28,34,41,49,50
40,13,18,32,44,58,65
41,14,27,32,45,47,62
42,15,24,34,41,45,58
43,15,24,36,39,52,59
44,15,29,31,43,44,56
45,16,26,29,37,58,60
46,18,27,35,40,51,58
47,18,33,35,41,51,55
48,22,23,24,39,40,46
49,25,28,32,42,60,61
50,28,31,32,40,47,48
