fold,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6
1,1,4,17,30,42,52
2,1,8,21,30,50,51
3,2,3,8,32,53,55
4,2,3,24,37,51,55
5,2,8,27,42,57,59
6,2,9,28,43,52,60
7,2,15,21,32,50,61
8,3,4,8,38,41,57
9,3,4,14,47,50,56
10,3,8,11,34,38,47
11,3,11,19,31,60,61
12,3,14,22,46,54,58
13,3,17,27,35,38,49
14,3,21,26,31,38,61
15,4,10,23,36,49,57
16,4,13,14,32,34,42
17,4,24,26,30,54,60
18,4,24,26,35,38,56
19,5,6,23,31,34,60
20,5,7,22,49,53,59
21,5,7,27,39,42,46
22,5,16,23,45,48,53
23,5,20,27,32,48,59
24,6,9,20,35,48,54
25,6,14,16,38,50,56
26,6,15,16,34,41,42
27,6,22,23,32,53,54
28,6,25,28,30,57,60
29,7,10,25,55,56,57
30,7,11,25,32,37,51
31,7,15,20,49,52,60
32,7,17,20,38,39,54
33,8,9,26,30,34,53
34,8,10,28,43,59,61
35,8,17,21,35,56,61
36,8,19,22,30,32,37
37,8,20,24,39,53,55
38,9,11,14,31,58,59
39,9,19,20,45,47,52
40,9,19,26,30,56,61
41,9,20,26,35,38,39
42,9,21,28,38,46,47
43,9,23,27,50,57,61
44,9,24,25,36,37,43
45,13,14,21,46,51,56
46,13,16,19,45,53,54
47,13,22,23,41,50,59
48,13,23,29,39,45,47
49,19,20,27,36,43,57
50,20,23,25,30,37,50
