fold,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6
1,1,18,19,32,38,41
2,2,3,23,37,42,49
3,2,9,27,42,50,58
4,2,11,29,31,32,38
5,2,14,19,32,48,59
6,2,27,28,31,38,55
7,3,4,13,45,48,54
8,3,7,19,39,41,43
9,3,8,19,31,38,40
10,3,10,29,38,52,55
11,3,13,20,44,52,56
12,3,16,26,34,38,47
13,3,21,22,39,52,53
14,3,21,23,30,38,49
15,3,26,28,32,46,54
16,4,12,13,32,33,41
17,4,15,17,42,51,52
18,4,21,29,35,47,55
19,4,22,24,30,58,61
20,4,22,24,34,38,54
21,5,6,21,31,33,58
22,5,7,26,39,41,44
23,5,15,21,43,59,60
24,5,16,22,34,48,55
25,6,7,12,42,51,57
26,6,14,15,33,40,41
27,6,18,26,34,42,55
28,6,23,27,30,55,58
29,7,16,21,41,53,59
30,7,17,20,40,51,57
31,7,18,26,44,50,61
32,8,9,24,30,33,51
33,8,17,20,30,32,37
34,8,18,24,35,50,51
35,9,13,15,33,38,58
36,9,16,22,32,38,47
37,9,17,18,43,45,50
38,9,17,24,30,54,61
39,9,17,29,35,48,61
40,9,18,24,34,38,39
41,9,19,27,38,44,45
42,9,21,23,35,43,45
43,9,21,26,48,52,59
44,10,13,23,37,53,54
45,11,16,20,30,47,60
46,11,26,28,38,48,52
47,12,13,19,44,49,54
48,12,27,28,30,33,60
49,18,21,23,30,37,48
50,20,21,29,40,48,57
