fold,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6
1,1,2,4,15,25,26
2,1,2,4,16,20,28
3,1,2,11,18,19,26
4,1,3,8,19,26,28
5,1,4,6,16,19,21
6,1,4,11,16,19,27
7,1,5,13,22,23,26
8,1,6,10,15,16,22
9,1,6,10,18,23,24
10,2,3,14,17,25,28
11,2,4,13,15,23,24
12,2,4,14,19,21,22
13,2,7,10,21,24,28
14,2,7,14,19,23,25
15,2,7,14,20,24,28
16,2,8,9,16,18,28
17,2,9,10,15,21,27
18,2,10,13,16,22,26
19,2,11,12,19,23,27
20,2,11,14,20,21,28
21,3,4,5,16,20,27
22,3,4,9,15,16,22
23,3,4,12,16,25,26
24,3,4,12,19,23,28
25,3,5,9,21,23,24
26,3,6,11,18,20,28
27,3,6,13,23,27,28
28,3,7,8,19,25,26
29,3,9,12,22,24,28
30,3,9,13,16,23,25
31,3,9,13,17,22,25
32,3,10,11,18,23,26
33,3,13,14,20,21,26
34,4,5,9,18,22,25
35,4,7,8,15,19,24
36,4,8,13,18,21,27
37,4,9,11,15,20,27
38,4,9,12,18,26,28
39,4,9,12,23,25,26
40,4,10,12,18,20,25
41,5,6,13,15,18,28
42,5,7,11,20,22,25
43,5,8,9,15,23,25
44,5,9,11,17,18,24
45,5,11,12,16,25,28
46,6,10,14,16,18,26
47,6,11,13,16,19,21
48,7,8,11,17,19,22
49,7,8,12,15,25,27
50,7,10,12,20,21,24
