experiment,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,task_KNN_8_2689,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6665578053559765,0.9032823524256103
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,task_KNN_8_0356,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6463096015676029,1.0
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-38_sub-64_sub-65_sub-67_sub-68_sub-73,task_KNN_8_9284,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6642717178314826,0.8776019983347211
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,task_KNN_29_0356,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6641684511063526,1.0
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,task_KNN_29_2689,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7027123483226267,0.9056718228692751
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-44_sub-47_sub-58_sub-83_sub-86_sub-88,task_KNN_29_9284,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7098501070663812,0.8785475973829022
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,task_KNN_25_0356,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5160377358490567,1.0
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,task_KNN_25_2689,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5371069182389937,0.9136601911810053
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-43_sub-44_sub-54_sub-69_sub-76_sub-78,task_KNN_25_9284,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5465408805031446,0.8893881326813797
ANOVA_L_6_FTD,LPSO_Random_50,ANOVA,6,KNN,sub-42_sub-53_sub-61_sub-66_sub-74_sub-82,task_KNN_22_2689,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5883495145631068,0.9030757755254267
