experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,task_KNN_6_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5270034843205574,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,task_KNN_6_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4808362369337979,0.9328585961342828
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-8_sub-21_sub-30_sub-50_sub-51,task_KNN_6_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4799651567944251,0.9226856561546287
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,task_KNN_5_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.48138528138528136,0.9191692965489158
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,task_KNN_5_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.48138528138528136,0.931792731344803
PCA_L_6_EC,PCA,6,EC,KNN,sub-1_sub-4_sub-17_sub-30_sub-42_sub-52,task_KNN_5_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4753246753246753,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,task_KNN_49_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49362786745964315,0.9219467401285583
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,task_KNN_49_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6117247238742566,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-24_sub-25_sub-36_sub-37_sub-43,task_KNN_49_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49362786745964315,0.9347005407611468
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-17_sub-27_sub-35_sub-38_sub-49,task_KNN_15_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4974916387959866,0.9225107340012267
