experiment,pipeline,strategy,P,fold_id,model,hyperparams,task_id,subject_acc,n_subjects_fold,epoch_acc,n_epochs_fold,subject_minus_epoch
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_16_6676,0.8333333333333334,6,0.595220497659522,4059,0.23811283567381136
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_16_3978,0.8333333333333334,6,0.5900468095590047,4059,0.2432865237743287
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-2_sub-7_sub-14_sub-19_sub-23_sub-25,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_16_9872,0.8333333333333334,6,0.5703375215570338,4059,0.2629958117762996
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_22_3978,0.8333333333333334,6,0.6341638715860086,4174,0.19916946174732475
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_22_9872,0.8333333333333334,6,0.5821753713464303,4174,0.2511579619869031
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-3_sub-4_sub-12_sub-16_sub-25_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_22_6676,0.8333333333333334,6,0.6456636320076665,4174,0.18766970132566685
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_0_6676,0.5,6,0.5468068735573224,3899,-0.04680687355732238
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",task_KNN_0_9872,0.5,6,0.5432162092844319,3899,-0.04321620928443193
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-1_sub-2_sub-11_sub-18_sub-19_sub-26,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",task_KNN_0_3978,0.5,6,0.5416773531674789,3899,-0.04167735316747889
ANOVA_L_6_SCZ,FTest,Random-50,6,sub-4_sub-9_sub-11_sub-15_sub-20_sub-27,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",task_KNN_37_6676,0.5,6,0.49181237857341104,3603,0.008187621426588965
