cohort,pipeline,seed,model,accuracy
ad,ANOVA,42,KNN,0.8355282411472051
ad,ANOVA,42,XGBoost,0.95976002341235
ad,ANOVA,42,SVM,0.7882645595551654
ad,ANOVA,42,MLP,0.8555750658472344
ad,ANOVA,43,KNN,0.8334796605209248
ad,ANOVA,43,XGBoost,0.9558091893473808
ad,ANOVA,43,SVM,0.79075212174422
ad,ANOVA,43,MLP,0.8478197249048873
ad,ANOVA,44,KNN,0.8383084577114428
ad,ANOVA,44,XGBoost,0.9524436640327772
ad,ANOVA,44,SVM,0.7888498683055312
ad,ANOVA,44,MLP,0.8429909277143693
ad,ANOVA,45,KNN,0.8289435177055897
ad,ANOVA,45,XGBoost,0.9427860696517413
ad,ANOVA,45,SVM,0.7799239098624524
ad,ANOVA,45,MLP,0.8271875914544923
ad,ANOVA,46,KNN,0.8336259877085163
ad,ANOVA,46,XGBoost,0.9508340649692713
ad,ANOVA,46,SVM,0.7761194029850746
ad,ANOVA,46,MLP,0.8544044483465028
ad,ANOVA,47,KNN,0.8207491952004683
ad,ANOVA,47,XGBoost,0.9427860696517413
ad,ANOVA,47,SVM,0.7791922739244952
ad,ANOVA,47,MLP,0.808750365817969
ad,ANOVA,48,KNN,0.8236757389522973
ad,ANOVA,48,XGBoost,0.9522973368451858
ad,ANOVA,48,SVM,0.7777290020485806
ad,ANOVA,48,MLP,0.7901668129938543
ad,ANOVA,49,KNN,0.8369915130231197
ad,ANOVA,49,XGBoost,0.9531752999707346
ad,ANOVA,49,SVM,0.7873865964296166
ad,ANOVA,49,MLP,0.8109452736318408
ad,ANOVA,50,KNN,0.8302604623939128
ad,ANOVA,50,XGBoost,0.9585894059116183
ad,ANOVA,50,SVM,0.79075212174422
ad,ANOVA,50,MLP,0.8498683055311677
ad,ANOVA,51,KNN,0.8405033655253146
ad,ANOVA,51,XGBoost,0.9546385718466491
ad,ANOVA,51,SVM,0.7910447761194029
ad,ANOVA,51,MLP,0.8378694761486685
ad,PCA,42,KNN,0.8690371671056483
ad,PCA,42,XGBoost,0.9401521802750951
ad,PCA,42,SVM,0.8380158033362599
ad,PCA,42,MLP,0.9716125256072579
ad,PCA,43,KNN,0.8786947614866842
ad,PCA,43,XGBoost,0.9338601112086625
ad,PCA,43,SVM,0.8306994439566872
ad,PCA,43,MLP,0.9708808896693005
ad,PCA,44,KNN,0.8640620427275387
ad,PCA,44,XGBoost,0.9274217149546385
ad,PCA,44,SVM,0.8290898448931812
ad,PCA,44,MLP,0.9697102721685689
ad,PCA,45,KNN,0.8678665496049166
ad,PCA,45,XGBoost,0.9300556043312848
ad,PCA,45,SVM,0.8273339186420837
ad,PCA,45,MLP,0.9697102721685689
ad,PCA,46,KNN,0.874451273046532
ad,PCA,46,XGBoost,0.932396839332748
ad,PCA,46,SVM,0.8331870061457419
ad,PCA,46,MLP,0.9752707052970442
ad,PCA,47,KNN,0.8724026924202517
ad,PCA,47,XGBoost,0.9363476733977173
ad,PCA,47,SVM,0.8331870061457419
ad,PCA,47,MLP,0.9732221246707639
ad,PCA,48,KNN,0.8685981855428738
ad,PCA,48,XGBoost,0.9345917471466199
ad,PCA,48,SVM,0.8349429323968394
ad,PCA,48,MLP,0.9681006731050629
ad,PCA,49,KNN,0.874451273046532
ad,PCA,49,XGBoost,0.9395668715247293
ad,PCA,49,SVM,0.8317237342698274
ad,PCA,49,MLP,0.9754170324846356
