cohort,cell,claimed,computed,delta,status,tolerance
AD,n_dis,36.0,36.0,0.0,PASS,0.0
AD,n_ctrl,29.0,29.0,0.0,PASS,0.0
AD,total,34044.0,34044.0,0.0,PASS,0.0
AD,mean,524.0,524.0,0.0,PASS,1.0
AD,sd,86.0,86.0,0.0,PASS,1.0
AD,ep_ch,0.547,0.5466,-0.0004,PASS,0.005
AD,su_ch,0.554,0.5538,-0.0002,PASS,0.005
FTD,n_dis,23.0,23.0,0.0,PASS,0.0
FTD,n_ctrl,29.0,29.0,0.0,PASS,0.0
FTD,total,25881.0,25881.0,0.0,PASS,0.0
FTD,mean,498.0,498.0,0.0,PASS,1.0
FTD,sd,95.0,95.0,0.0,PASS,1.0
FTD,ep_ch,0.597,0.5965,-0.0005,PASS,0.005
FTD,su_ch,0.558,0.5577,-0.0003,PASS,0.005
MDD-EC,n_dis,29.0,29.0,0.0,PASS,0.0
MDD-EC,n_ctrl,27.0,27.0,0.0,PASS,0.0
MDD-EC,total,10978.0,10978.0,0.0,PASS,0.0
MDD-EC,mean,196.0,196.0,0.0,PASS,1.0
MDD-EC,sd,16.0,16.0,0.0,PASS,1.0
MDD-EC,ep_ch,0.503,0.5033,0.0003,PASS,0.005
MDD-EC,su_ch,0.518,0.5179,-0.0001,PASS,0.005
MDD-EO,n_dis,31.0,31.0,0.0,PASS,0.0
MDD-EO,n_ctrl,28.0,28.0,0.0,PASS,0.0
MDD-EO,total,11539.0,11539.0,0.0,PASS,0.0
MDD-EO,mean,196.0,196.0,0.0,PASS,1.0
MDD-EO,sd,16.0,16.0,0.0,PASS,1.0
MDD-EO,ep_ch,0.52,0.5199,-0.0001,PASS,0.005
MDD-EO,su_ch,0.525,0.5254,0.0004,PASS,0.005
SCZ,n_dis,14.0,14.0,0.0,PASS,0.0
SCZ,n_ctrl,14.0,14.0,0.0,PASS,0.0
SCZ,total,18535.0,18535.0,0.0,PASS,0.0
SCZ,mean,662.0,662.0,0.0,PASS,1.0
SCZ,sd,108.0,108.0,0.0,PASS,1.0
SCZ,ep_ch,0.535,0.5353,0.0003,PASS,0.005
SCZ,su_ch,0.5,0.5,0.0,PASS,0.005
