dataset,cell,claimed,computed,delta,status,tolerance
AD,iqr_p6,11.8,11.793,-0.007,PASS,0.5
AD,iqr_p2,26.2,26.1762,-0.0238,PASS,0.5
AD,ratio,2.2,2.2196,0.0196,PASS,0.1
AD,max_ep_p6,0.924,0.9243,0.0003,PASS,0.005
AD,max_ep_p2,0.975,0.9746,-0.0004,PASS,0.005
AD,max_sub_p6,1.0,1.0,0.0,PASS,0.005
AD,max_sub_p2,1.0,1.0,0.0,PASS,0.005
FTD,iqr_p6,11.3,11.3038,0.0038,PASS,0.5
FTD,iqr_p2,20.4,20.3904,-0.0096,PASS,0.5
FTD,ratio,1.8,1.8039,0.0039,PASS,0.1
FTD,max_ep_p6,0.856,0.8561,0.0001,PASS,0.005
FTD,max_ep_p2,0.973,0.9733,0.0003,PASS,0.005
FTD,max_sub_p6,1.0,1.0,0.0,PASS,0.005
FTD,max_sub_p2,1.0,1.0,0.0,PASS,0.005
MDD EC,iqr_p6,14.1,14.2404,0.1404,PASS,0.5
MDD EC,iqr_p2,30.6,30.2493,-0.3507,PASS,0.5
MDD EC,ratio,2.2,2.1242,-0.0758,PASS,0.1
MDD EC,max_ep_p6,0.996,0.9964,0.0004,PASS,0.005
MDD EC,max_ep_p2,1.0,1.0,0.0,PASS,0.005
MDD EC,max_sub_p6,1.0,1.0,0.0,PASS,0.005
MDD EC,max_sub_p2,1.0,1.0,0.0,PASS,0.005
MDD EO,iqr_p6,13.8,13.9356,0.1356,PASS,0.5
MDD EO,iqr_p2,26.8,26.7628,-0.0372,PASS,0.5
MDD EO,ratio,1.9,1.9205,0.0205,PASS,0.1
MDD EO,max_ep_p6,0.989,0.989,-0.0,PASS,0.005
MDD EO,max_ep_p2,1.0,1.0,0.0,PASS,0.005
MDD EO,max_sub_p6,1.0,1.0,0.0,PASS,0.005
MDD EO,max_sub_p2,1.0,1.0,0.0,PASS,0.005
SCZ,iqr_p6,8.7,8.7172,0.0172,PASS,0.5
SCZ,iqr_p2,17.9,17.8737,-0.0263,PASS,0.5
SCZ,ratio,2.1,2.0504,-0.0496,PASS,0.1
SCZ,max_ep_p6,0.788,0.788,-0.0,PASS,0.005
SCZ,max_ep_p2,0.834,0.8344,0.0004,PASS,0.005
SCZ,max_sub_p6,1.0,1.0,0.0,PASS,0.005
SCZ,max_sub_p2,1.0,1.0,0.0,PASS,0.005
