rank,label,cell,claimed,computed,delta,status,tolerance
1,O2_Alpha,rank,1.0,1.0,0.0,PASS,0.0
1,O2_Alpha,mean_d,0.04,0.03979127237278117,-0.00020872762721883126,PASS,0.001
1,O2_Alpha,mean_c,0.1064,0.10547553031778163,-0.0009244696822183623,PASS,0.001
1,O2_Alpha,ratio,2.66,2.6507202215009125,-0.009279778499087676,PASS,0.01
1,O2_Alpha,d,0.822,0.8179237747128181,-0.004076225287181878,PASS,0.005
2,T5_Alpha,rank,2.0,2.0,0.0,PASS,0.0
2,T5_Alpha,mean_d,0.0364,0.03620994549761208,-0.00019005450238792493,PASS,0.001
2,T5_Alpha,mean_c,0.0916,0.09101178730617689,-0.0005882126938231147,PASS,0.001
2,T5_Alpha,ratio,2.51,2.513447232671996,0.0034472326719963142,PASS,0.01
2,T5_Alpha,d,0.739,0.7394427246029455,0.0004427246029454768,PASS,0.005
3,O1_Alpha,rank,3.0,3.0,0.0,PASS,0.0
3,O1_Alpha,mean_d,0.0389,0.03865787053191865,-0.00024212946808134517,PASS,0.001
3,O1_Alpha,mean_c,0.0951,0.09439921665776509,-0.0007007833422349175,PASS,0.001
3,O1_Alpha,ratio,2.45,2.4419145534625986,-0.00808544653740162,PASS,0.01
3,O1_Alpha,d,0.725,0.7228137949002031,-0.002186205099796834,PASS,0.005
4,T6_Alpha,rank,4.0,4.0,0.0,PASS,0.0
4,T6_Alpha,mean_d,0.0379,0.0376923395286917,-0.00020766047130830328,PASS,0.001
4,T6_Alpha,mean_c,0.0772,0.07666081458318738,-0.0005391854168126237,PASS,0.001
4,T6_Alpha,ratio,2.04,2.033856628210424,-0.006143371789576246,PASS,0.01
4,T6_Alpha,d,0.617,0.6160995866740151,-0.0009004133259848945,PASS,0.005
5,O2_Delta,rank,5.0,5.0,0.0,PASS,0.0
5,O2_Delta,mean_d,0.8888,0.8889990134207161,0.00019901342071604322,PASS,0.001
5,O2_Delta,mean_c,0.826,0.8264033767622551,0.0004033767622551032,PASS,0.001
5,O2_Delta,ratio,1.08,1.0757446525735446,-0.0042553474264555025,PASS,0.01
5,O2_Delta,d,0.616,0.6134366481595172,-0.0025633518404828415,PASS,0.005
6,P3_Alpha,rank,6.0,6.0,0.0,PASS,0.0
6,P3_Alpha,mean_d,0.0278,0.027639822175018265,-0.00016017782498173316,PASS,0.001
6,P3_Alpha,mean_c,0.0538,0.053545367877582184,-0.00025463212241781663,PASS,0.001
6,P3_Alpha,ratio,1.94,1.937254427272624,-0.0027455727273759667,PASS,0.01
6,P3_Alpha,d,0.547,0.5482218030768535,0.0012218030768534893,PASS,0.005
7,O1_Delta,rank,7.0,7.0,0.0,PASS,0.0
7,O1_Delta,mean_d,0.8898,0.8900386575633066,0.00023865756330654353,PASS,0.001
7,O1_Delta,mean_c,0.8378,0.8381274693379568,0.00032746933795679833,PASS,0.001
7,O1_Delta,ratio,1.06,1.0619371039901064,0.0019371039901063813,PASS,0.01
7,O1_Delta,d,0.521,0.5200151483168519,-0.0009848516831481025,PASS,0.005
8,T5_Delta,rank,8.0,8.0,0.0,PASS,0.0
8,T5_Delta,mean_d,0.8896,0.8898956515375832,0.00029565153758326357,PASS,0.001
8,T5_Delta,mean_c,0.8389,0.8389301379348737,3.013793487371963e-05,PASS,0.001
8,T5_Delta,ratio,1.06,1.0607506052031546,0.0007506052031545085,PASS,0.01
8,T5_Delta,d,0.512,0.5138432206922466,0.0018432206922466277,PASS,0.005
9,Pz_Alpha,rank,9.0,9.0,0.0,PASS,0.0
9,Pz_Alpha,mean_d,0.0259,0.025722051623606662,-0.00017794837639333733,PASS,0.001
9,Pz_Alpha,mean_c,0.048,0.04787251996657297,-0.00012748003342703124,PASS,0.001
9,Pz_Alpha,ratio,1.86,1.8611470292920764,0.0011470292920763292,PASS,0.01
9,Pz_Alpha,d,0.508,0.509975443997955,0.0019754439979550176,PASS,0.005
10,P4_Alpha,rank,10.0,10.0,0.0,PASS,0.0
10,P4_Alpha,mean_d,0.0285,0.0283575568821265,-0.00014244311787350167,PASS,0.001
10,P4_Alpha,mean_c,0.047,0.046745483611466424,-0.0002545163885335766,PASS,0.001
10,P4_Alpha,ratio,1.65,1.6484312737438134,-0.0015687262561865367,PASS,0.01
10,P4_Alpha,d,0.434,0.43492682885488543,0.0009268288548854309,PASS,0.005
