disease,rank,paper_label,paper_arrow,paper_d,comp_label,comp_arrow,comp_d,status,notes
AD,1,O2_Alpha,↓,0.82,O2_Alpha,↓,0.8179,PASS,
AD,2,T5_Alpha,↓,0.74,T5_Alpha,↓,0.7394,PASS,
AD,3,O1_Alpha,↓,0.72,O1_Alpha,↓,0.7228,PASS,
AD,4,T6_Alpha,↓,0.62,T6_Alpha,↓,0.6161,PASS,
AD,5,O2_Delta,↑,0.62,O2_Delta,↑,0.6134,FAIL,d 0.613 vs 0.62
FTD,1,T5_Alpha,↓,0.56,T5_Alpha,↓,0.5606,PASS,
FTD,2,O2_Alpha,↓,0.52,O2_Alpha,↓,0.5244,PASS,
FTD,3,P3_Alpha,↓,0.48,P3_Alpha,↓,0.4786,PASS,
FTD,4,O1_Alpha,↓,0.47,O1_Alpha,↓,0.4704,PASS,
FTD,5,O2_Delta,↑,0.43,O2_Delta,↑,0.4311,PASS,
MDD-EC,1,C3_Beta,↑,1.22,C3_Beta,↑,1.2153,PASS,
MDD-EC,2,Pz_Beta,↑,1.16,Pz_Beta,↑,1.1645,PASS,
MDD-EC,3,P4_Beta,↑,1.15,P4_Beta,↑,1.154,PASS,
MDD-EC,4,T6_Beta,↑,1.13,T6_Beta,↑,1.1276,PASS,
MDD-EC,5,P3_Beta,↑,1.1,P3_Beta,↑,1.1006,PASS,
MDD-EO,1,P4_Beta,↑,1.12,P4_Beta,↑,1.1241,PASS,
MDD-EO,2,Pz_Beta,↑,1.12,Pz_Beta,↑,1.1187,PASS,
MDD-EO,3,O1_Beta,↑,1.08,O1_Beta,↑,1.079,PASS,
MDD-EO,4,P3_Beta,↑,1.07,P3_Beta,↑,1.0691,PASS,
MDD-EO,5,T6_Beta,↑,1.05,T6_Beta,↑,1.0451,PASS,
SCZ,1,T3_Alpha,↑,0.32,T3_Alpha,↑,0.3178,PASS,
SCZ,2,Fp2_Beta,↑,0.3,Fp2_Beta,↑,0.2962,PASS,
SCZ,3,Fp2_Alpha,↑,0.29,Fp2_Alpha,↑,0.2883,PASS,
SCZ,4,Fp2_Delta,↓,0.28,Fp2_Delta,↓,0.2782,PASS,
SCZ,5,P4_Theta,↓,0.27,P4_Theta,↓,0.2699,PASS,
