disease,cell,claimed,computed,delta,status,tolerance
AD,T_disj_min,0.7,0.697,-0.003,PASS,0.01
AD,T_disj_max,0.74,0.739,-0.001,PASS,0.01
AD,T_infl_min,5.0,4.557,-0.443,PASS,2.0
AD,T_infl_max,26.0,25.514,-0.486,PASS,2.0
AD,P_disj_min,0.55,0.551,0.001,PASS,0.01
AD,P_disj_max,0.6,0.599,-0.001,PASS,0.01
AD,P_infl_min,23.0,23.425,0.425,PASS,2.0
AD,P_infl_max,41.0,41.475,0.475,PASS,2.0
FTD,T_disj_min,0.62,0.618,-0.002,PASS,0.01
FTD,T_disj_max,0.65,0.646,-0.004,PASS,0.01
FTD,T_infl_min,13.0,12.659,-0.341,PASS,2.0
FTD,T_infl_max,36.0,36.173,0.173,PASS,2.0
FTD,P_disj_min,0.53,0.534,0.004,PASS,0.01
FTD,P_disj_max,0.54,0.542,0.002,PASS,0.01
FTD,P_infl_min,29.0,29.338,0.338,PASS,2.0
FTD,P_infl_max,45.0,44.658,-0.342,PASS,2.0
MDD EC,T_disj_min,0.79,0.787,-0.003,PASS,0.01
MDD EC,T_disj_max,0.83,0.833,0.003,PASS,0.01
MDD EC,T_infl_min,5.0,5.248,0.248,PASS,2.0
MDD EC,T_infl_max,12.0,12.167,0.167,PASS,2.0
MDD EC,P_disj_min,0.49,0.492,0.002,PASS,0.01
MDD EC,P_disj_max,0.63,0.633,0.003,PASS,0.01
MDD EC,P_infl_min,28.0,27.506,-0.494,PASS,2.0
MDD EC,P_infl_max,45.0,44.782,-0.218,PASS,2.0
MDD EO,T_disj_min,0.75,0.754,0.004,PASS,0.01
MDD EO,T_disj_max,0.8,0.798,-0.002,PASS,0.01
MDD EO,T_infl_min,10.0,10.184,0.184,PASS,2.0
MDD EO,T_infl_max,16.0,16.254,0.254,PASS,2.0
MDD EO,P_disj_min,0.5,0.497,-0.003,PASS,0.01
MDD EO,P_disj_max,0.64,0.64,-0.0,PASS,0.01
MDD EO,P_infl_min,25.0,24.806,-0.194,PASS,2.0
MDD EO,P_infl_max,45.0,44.772,-0.228,PASS,2.0
SCZ,T_disj_min,0.56,0.555,-0.005,PASS,0.01
SCZ,T_disj_max,0.6,0.599,-0.001,PASS,0.01
SCZ,T_infl_min,19.0,18.885,-0.115,PASS,2.0
SCZ,T_infl_max,32.0,32.019,0.019,PASS,2.0
SCZ,P_disj_min,0.45,0.454,0.004,PASS,0.01
SCZ,P_disj_max,0.56,0.563,0.003,PASS,0.01
SCZ,P_infl_min,30.0,30.393,0.393,PASS,2.0
SCZ,P_infl_max,41.0,41.081,0.081,PASS,2.0
