disease,pipeline,P,cell,claimed,computed,delta,status,tolerance
AD,T-test,6,ep_min,0.699,0.697,-0.002,PASS,0.005
AD,T-test,6,ep_max,0.727,0.739,0.012,FAIL,0.005
AD,T-test,6,sub_min,0.793,0.793,0.0,PASS,0.005
AD,T-test,6,sub_max,0.857,0.857,-0.0,PASS,0.005
AD,T-test,6,gap_min,-14.1,-14.062,0.038,PASS,1.0
AD,T-test,6,gap_max,-6.6,-5.39,1.21,FAIL,1.0
AD,T-test,2,ep_min,0.66,0.678,0.018,FAIL,0.005
AD,T-test,2,ep_max,0.682,0.749,0.067,FAIL,0.005
AD,T-test,2,sub_min,0.72,0.72,0.0,PASS,0.005
AD,T-test,2,sub_max,0.77,0.77,0.0,PASS,0.005
AD,T-test,2,gap_min,-11.0,-9.167,1.833,FAIL,1.0
AD,T-test,2,gap_max,-5.4,-1.059,4.341,FAIL,1.0
AD,PCA,6,ep_min,0.549,0.551,0.002,PASS,0.005
AD,PCA,6,ep_max,0.596,0.599,0.003,PASS,0.005
AD,PCA,6,sub_min,0.55,0.55,0.0,PASS,0.005
AD,PCA,6,sub_max,0.623,0.623,0.0,PASS,0.005
AD,PCA,6,gap_min,-5.1,-5.857,-0.757,PASS,1.0
AD,PCA,6,gap_max,3.6,3.935,0.335,PASS,1.0
AD,PCA,2,ep_min,0.533,0.541,0.008,FAIL,0.005
AD,PCA,2,ep_max,0.56,0.563,0.003,PASS,0.005
AD,PCA,2,sub_min,0.49,0.49,0.0,PASS,0.005
AD,PCA,2,sub_max,0.6,0.6,0.0,PASS,0.005
AD,PCA,2,gap_min,-6.1,-5.421,0.679,PASS,1.0
AD,PCA,2,gap_max,4.3,5.059,0.759,PASS,1.0
FTD,T-test,6,ep_min,0.605,0.618,0.013,FAIL,0.005
FTD,T-test,6,ep_max,0.631,0.646,0.015,FAIL,0.005
FTD,T-test,6,sub_min,0.623,0.623,0.0,PASS,0.005
FTD,T-test,6,sub_max,0.65,0.65,0.0,PASS,0.005
FTD,T-test,6,gap_min,-4.2,-2.922,1.278,FAIL,1.0
FTD,T-test,6,gap_max,-0.5,0.945,1.445,FAIL,1.0
FTD,T-test,2,ep_min,0.604,0.59,-0.014,FAIL,0.005
FTD,T-test,2,ep_max,0.624,0.621,-0.003,PASS,0.005
FTD,T-test,2,sub_min,0.58,0.58,0.0,PASS,0.005
FTD,T-test,2,sub_max,0.62,0.62,0.0,PASS,0.005
FTD,T-test,2,gap_min,0.4,-0.093,-0.493,PASS,1.0
FTD,T-test,2,gap_max,4.1,4.15,0.05,PASS,1.0
FTD,PCA,6,ep_min,0.542,0.534,-0.008,FAIL,0.005
FTD,PCA,6,ep_max,0.555,0.542,-0.013,FAIL,0.005
FTD,PCA,6,sub_min,0.5,0.5,0.0,PASS,0.005
FTD,PCA,6,sub_max,0.52,0.52,0.0,PASS,0.005
FTD,PCA,6,gap_min,2.2,1.566,-0.634,PASS,1.0
FTD,PCA,6,gap_max,4.5,3.396,-1.104,FAIL,1.0
FTD,PCA,2,ep_min,0.556,0.539,-0.017,FAIL,0.005
FTD,PCA,2,ep_max,0.558,0.543,-0.015,FAIL,0.005
FTD,PCA,2,sub_min,0.5,0.5,0.0,PASS,0.005
FTD,PCA,2,sub_max,0.5,0.5,0.0,PASS,0.005
FTD,PCA,2,gap_min,5.6,3.927,-1.673,FAIL,1.0
FTD,PCA,2,gap_max,5.8,4.289,-1.511,FAIL,1.0
MDD EC,T-test,6,ep_min,0.796,0.788,-0.008,FAIL,0.005
MDD EC,T-test,6,ep_max,0.824,0.833,0.009,FAIL,0.005
MDD EC,T-test,6,sub_min,0.83,0.83,0.0,PASS,0.005
MDD EC,T-test,6,sub_max,0.883,0.883,0.0,PASS,0.005
MDD EC,T-test,6,gap_min,-5.9,-6.859,-0.959,PASS,1.0
MDD EC,T-test,6,gap_max,-3.4,-2.207,1.193,FAIL,1.0
MDD EC,T-test,2,ep_min,0.792,0.897,0.105,FAIL,0.005
MDD EC,T-test,2,ep_max,0.823,0.913,0.09,FAIL,0.005
MDD EC,T-test,2,sub_min,0.8,0.8,0.0,PASS,0.005
MDD EC,T-test,2,sub_max,0.87,0.87,0.0,PASS,0.005
MDD EC,T-test,2,gap_min,-5.1,2.739,7.839,FAIL,1.0
MDD EC,T-test,2,gap_max,-0.8,11.057,11.857,FAIL,1.0
MDD EC,PCA,6,ep_min,0.487,0.492,0.005,FAIL,0.005
MDD EC,PCA,6,ep_max,0.642,0.633,-0.009,FAIL,0.005
MDD EC,PCA,6,sub_min,0.5,0.5,0.0,PASS,0.005
MDD EC,PCA,6,sub_max,0.653,0.653,0.0,PASS,0.005
MDD EC,PCA,6,gap_min,-1.3,-2.022,-0.722,PASS,1.0
MDD EC,PCA,6,gap_max,-0.3,-0.488,-0.188,PASS,1.0
MDD EC,PCA,2,ep_min,0.484,0.497,0.013,FAIL,0.005
MDD EC,PCA,2,ep_max,0.666,0.601,-0.065,FAIL,0.005
MDD EC,PCA,2,sub_min,0.5,0.5,0.0,PASS,0.005
MDD EC,PCA,2,sub_max,0.71,0.71,0.0,PASS,0.005
MDD EC,PCA,2,gap_min,-4.4,-10.919,-6.519,FAIL,1.0
MDD EC,PCA,2,gap_max,0.2,-0.126,-0.326,PASS,1.0
MDD EO,T-test,6,ep_min,0.748,0.754,0.006,FAIL,0.005
MDD EO,T-test,6,ep_max,0.794,0.798,0.004,PASS,0.005
MDD EO,T-test,6,sub_min,0.777,0.777,-0.0,PASS,0.005
MDD EO,T-test,6,sub_max,0.847,0.847,-0.0,PASS,0.005
MDD EO,T-test,6,gap_min,-5.4,-4.855,0.545,PASS,1.0
MDD EO,T-test,6,gap_max,-2.8,-2.095,0.705,PASS,1.0
MDD EO,T-test,2,ep_min,0.768,0.887,0.119,FAIL,0.005
MDD EO,T-test,2,ep_max,0.867,0.95,0.083,FAIL,0.005
MDD EO,T-test,2,sub_min,0.76,0.76,0.0,PASS,0.005
MDD EO,T-test,2,sub_max,0.94,0.94,0.0,PASS,0.005
MDD EO,T-test,2,gap_min,-8.5,-4.294,4.206,FAIL,1.0
MDD EO,T-test,2,gap_max,0.8,18.956,18.156,FAIL,1.0
MDD EO,PCA,6,ep_min,0.494,0.497,0.003,PASS,0.005
MDD EO,PCA,6,ep_max,0.63,0.64,0.01,FAIL,0.005
MDD EO,PCA,6,sub_min,0.5,0.5,0.0,PASS,0.005
MDD EO,PCA,6,sub_max,0.653,0.653,0.0,PASS,0.005
MDD EO,PCA,6,gap_min,-2.3,-1.372,0.928,PASS,1.0
MDD EO,PCA,6,gap_max,-0.1,-0.251,-0.151,PASS,1.0
MDD EO,PCA,2,ep_min,0.5,0.497,-0.003,PASS,0.005
MDD EO,PCA,2,ep_max,0.7,0.719,0.019,FAIL,0.005
MDD EO,PCA,2,sub_min,0.5,0.5,0.0,PASS,0.005
MDD EO,PCA,2,sub_max,0.74,0.74,0.0,PASS,0.005
MDD EO,PCA,2,gap_min,-4.0,-2.118,1.882,FAIL,1.0
MDD EO,PCA,2,gap_max,0.3,-0.189,-0.489,PASS,1.0
SCZ,T-test,6,ep_min,0.556,0.555,-0.001,PASS,0.005
SCZ,T-test,6,ep_max,0.597,0.599,0.002,PASS,0.005
SCZ,T-test,6,sub_min,0.587,0.587,-0.0,PASS,0.005
SCZ,T-test,6,sub_max,0.69,0.69,-0.0,PASS,0.005
SCZ,T-test,6,gap_min,-10.1,-10.152,-0.052,PASS,1.0
SCZ,T-test,6,gap_max,-2.9,-2.566,0.334,PASS,1.0
SCZ,T-test,2,ep_min,0.52,0.526,0.006,FAIL,0.005
SCZ,T-test,2,ep_max,0.566,0.587,0.021,FAIL,0.005
SCZ,T-test,2,sub_min,0.44,0.44,0.0,PASS,0.005
SCZ,T-test,2,sub_max,0.65,0.65,0.0,PASS,0.005
SCZ,T-test,2,gap_min,-8.4,-7.173,1.227,FAIL,1.0
SCZ,T-test,2,gap_max,8.0,8.594,0.594,PASS,1.0
SCZ,PCA,6,ep_min,0.473,0.466,-0.007,FAIL,0.005
SCZ,PCA,6,ep_max,0.557,0.563,0.006,FAIL,0.005
SCZ,PCA,6,sub_min,0.497,0.497,-0.0,PASS,0.005
SCZ,PCA,6,sub_max,0.567,0.567,-0.0,PASS,0.005
