feature_idx,label,mean_disease,mean_control,ratio,cohen_d,abs_d,rank
38,O2_Alpha,0.03979127237278117,0.10547553031778163,2.6507202215009125,-0.8179237747128181,0.8179237747128181,1
58,T5_Alpha,0.03620994549761208,0.09101178730617689,2.513447232671996,-0.7394427246029455,0.7394427246029455,2
34,O1_Alpha,0.03865787053191865,0.09439921665776509,2.4419145534625986,-0.7228137949002031,0.7228137949002031,3
62,T6_Alpha,0.0376923395286917,0.07666081458318738,2.033856628210424,-0.6160995866740151,0.6160995866740151,4
36,O2_Delta,0.8889990134207161,0.8264033767622551,1.0757446525735446,0.6134366481595172,0.6134366481595172,5
26,P3_Alpha,0.027639822175018265,0.053545367877582184,1.937254427272624,-0.5482218030768535,0.5482218030768535,6
32,O1_Delta,0.8900386575633066,0.8381274693379568,1.0619371039901064,0.5200151483168519,0.5200151483168519,7
56,T5_Delta,0.8898956515375832,0.8389301379348737,1.0607506052031546,0.5138432206922466,0.5138432206922466,8
74,Pz_Alpha,0.025722051623606662,0.04787251996657297,1.8611470292920764,-0.509975443997955,0.509975443997955,9
30,P4_Alpha,0.0283575568821265,0.046745483611466424,1.6484312737438134,-0.43492682885488543,0.43492682885488543,10
