disease,rank,label,arrow,cohen_d,abs_d,feature_idx
AD,1,O2_Alpha,↓,-0.8179237747128181,0.8179237747128181,38
AD,2,T5_Alpha,↓,-0.7394427246029455,0.7394427246029455,58
AD,3,O1_Alpha,↓,-0.7228137949002031,0.7228137949002031,34
AD,4,T6_Alpha,↓,-0.6160995866740151,0.6160995866740151,62
AD,5,O2_Delta,↑,0.6134366481595172,0.6134366481595172,36
FTD,1,T5_Alpha,↓,-0.5606364024082937,0.5606364024082937,58
FTD,2,O2_Alpha,↓,-0.5244115650545453,0.5244115650545453,38
FTD,3,P3_Alpha,↓,-0.47857623385278936,0.47857623385278936,26
FTD,4,O1_Alpha,↓,-0.47042160466590777,0.47042160466590777,34
FTD,5,O2_Delta,↑,0.43109990642846496,0.43109990642846496,36
MDD-EC,1,C3_Beta,↑,1.2153268682414085,1.2153268682414085,19
MDD-EC,2,Pz_Beta,↑,1.1644701307385579,1.1644701307385579,75
MDD-EC,3,P4_Beta,↑,1.1540357916159514,1.1540357916159514,31
MDD-EC,4,T6_Beta,↑,1.1276165985458937,1.1276165985458937,63
MDD-EC,5,P3_Beta,↑,1.100592772743173,1.100592772743173,27
MDD-EO,1,P4_Beta,↑,1.1241125486178905,1.1241125486178905,31
MDD-EO,2,Pz_Beta,↑,1.118739371297952,1.118739371297952,75
MDD-EO,3,O1_Beta,↑,1.0790169064469388,1.0790169064469388,35
MDD-EO,4,P3_Beta,↑,1.0691024143654022,1.0691024143654022,27
MDD-EO,5,T6_Beta,↑,1.0450728968693626,1.0450728968693626,63
SCZ,1,T3_Alpha,↑,0.31783418482838927,0.31783418482838927,50
SCZ,2,Fp2_Beta,↑,0.29615993493771675,0.29615993493771675,7
SCZ,3,Fp2_Alpha,↑,0.28828882299405756,0.28828882299405756,6
SCZ,4,Fp2_Delta,↓,-0.2782176597293916,0.2782176597293916,4
SCZ,5,P4_Theta,↓,-0.26991348266524695,0.26991348266524695,29
