disease,pipeline,P,ep_min,ep_max,sub_min,sub_max,gap_min_pp,gap_max_pp
AD,T-test,6,0.697,0.739,0.793,0.857,-14.1,-5.4
AD,T-test,2,0.678,0.749,0.72,0.77,-9.2,-1.1
AD,PCA,6,0.551,0.599,0.55,0.623,-5.9,3.9
AD,PCA,2,0.541,0.563,0.49,0.6,-5.4,5.1
FTD,T-test,6,0.618,0.646,0.623,0.65,-2.9,0.9
FTD,T-test,2,0.59,0.621,0.58,0.62,-0.1,4.1
FTD,PCA,6,0.534,0.542,0.5,0.52,1.6,3.4
FTD,PCA,2,0.539,0.543,0.5,0.5,3.9,4.3
MDD EC,T-test,6,0.788,0.833,0.83,0.883,-6.9,-2.2
MDD EC,T-test,2,0.897,0.913,0.8,0.87,2.7,11.1
MDD EC,PCA,6,0.492,0.633,0.5,0.653,-2.0,-0.5
MDD EC,PCA,2,0.497,0.601,0.5,0.71,-10.9,-0.1
MDD EO,T-test,6,0.754,0.798,0.777,0.847,-4.9,-2.1
MDD EO,T-test,2,0.887,0.95,0.76,0.94,-4.3,19.0
MDD EO,PCA,6,0.497,0.64,0.5,0.653,-1.4,-0.3
MDD EO,PCA,2,0.497,0.719,0.5,0.74,-2.1,-0.2
SCZ,T-test,6,0.555,0.599,0.587,0.69,-10.2,-2.6
SCZ,T-test,2,0.526,0.587,0.44,0.65,-7.2,8.6
SCZ,PCA,6,0.466,0.563,0.497,0.567,-3.4,1.0
SCZ,PCA,2,0.461,0.542,0.5,0.5,-3.9,4.2
